구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구I,1,1,,,,,3,3,,정보대학,컴퓨터학과,컴퓨터학과,,,1
교양필수,GEWR002,글쓰기,1,1,,,,,3,3,,정보대학,컴퓨터학과,컴퓨터학과,,,1
교양필수,IFLS800,Academic English I,1,1,,,,,2,2,,정보대학,컴퓨터학과,컴퓨터학과,,,1
교양필수,GEKS007,[진로창업]1학년세미나Ⅰ,1,1,,,,,1,1,,정보대학,컴퓨터학과,컴퓨터학과,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,2,,,,,1,1,,정보대학,컴퓨터학과,컴퓨터학과,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1,,,,,3,3,,정보대학,컴퓨터학과,컴퓨터학과,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2,,,,,3,3,,정보대학,컴퓨터학과,컴퓨터학과,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,1,,,,,3,3,,정보대학,컴퓨터학과,컴퓨터학과,,,1
학문의기초,COSE101,컴퓨터프로그래밍I,1,1,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,4
학문의기초,COSE102,컴퓨터프로그래밍II,1,2,,COSE101,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,4
학문의기초,COSE111,전산수학I,1,1,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,4
학문의기초,COSE112,전산수학II,1,2,,COSE111,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,4
전공필수,COSE213,자료구조,2,1,,COSE112,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공필수,COSE214,알고리즘,2,2,,COSE215,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공필수,COSE222,컴퓨터구조,2,2,,COSE221|COSE215,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,4
전공필수,COSE341,운영체제,3,1,,COSE213|COSE222,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,4
전공필수,COSE342,컴퓨터네트워크,3,2,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,4
전공필수,COSE361,인공지능,3,1,,,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,2
전공선택,COSE211,이산수학,2,2,,COSE215,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE212,프로그래밍언어,2,2,,COSE102|COSE215,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,4
전공선택,COSE215,계산이론,2,1,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE221,논리설계,2,2,,COSE215,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE242,데이터통신,2,2,,,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE281,공학수학,2,1,,COSE112,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE283,회로이론,2,1,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,1
전공선택,COSE284,전자기학,2,2,,COSE281|COSE283,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,4
전공선택,COSE312,컴파일러,3,2,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,2
전공선택,COSE321,컴퓨터시스템설계,3,1,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,3
전공선택,COSE322,시스템프로그래밍,3,2,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,3
전공선택,COSE331,컴퓨터그래픽스,3,1,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,3
전공선택,COSE352,소프트웨어공학,3,2,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE354,정보보호,3,1,,,,,3,3,사회적책임,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE362,기계학습,3,2,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE363,정보와정보학,3,1,,,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,2
전공선택,COSE371,데이터베이스,3,1,,COSE214,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE372,데이터베이스시스템,3,1,,,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,3
전공선택,COSE380,디지털신호처리,3,1,,,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,3
전공선택,COSE382,확률및랜덤과정,3,1,,,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE385,신호및시스템,3,1,,COSE281,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,2
전공선택,COSE389,기업가정신과리더쉽,3,1,,,,,3,3,도전적리더,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE394,창의적소프트웨어창업방법론,3,2,,,,,3,3,도전적리더,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE394-0,현장실습및창업실습I,4,1,,,1.0,,3,0,공감소통,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE394-1,현장실습및창업실습II,4,1,,,1.0,,3,0,공감소통,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE394-2,현장실습및창업실습III,4,1,,,1.0,,3,0,공감소통,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE394-3,현장실습및창업실습IV,4,1,,,1.0,,3,0,공감소통,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE405,컴퓨터학콜로키움,4,1,,,,,3,6,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,3
전공선택,COSE407,개별연구프로젝트,4,2,,,1.0,,3,6,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,2
전공선택,COSE415,저전력컴퓨팅,4,1,,,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,2
전공선택,COSE416,인공지능과자율주행자동차,4,2,,,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,1
전공선택,COSE419,소프트웨어검증,4,1,,,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,1
전공선택,COSE421,임베디드시스템,4,1,,COSE221,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,3
전공선택,COSE423,볼록최적화입문,4,1,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,3
전공선택,COSE425,블록체인입문및실습,4,2,,,,,3,3,,정보대학,컴퓨터학과,컴퓨터학과,,,0
전공선택,COSE432,인간컴퓨터상호작용입문,4,2,,,,,3,3,융합적사고,정보대학,컴퓨터학과,컴퓨터학과,,,5
전공선택,COSE434,게임프로그래밍,4,1,,,,,3,3,다문화포용,정보대학,컴퓨터학과,컴퓨터학과,,,2
전공선택,COSE436,인터렉티브시각화,4,2,,,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,4
전공선택,COSE441,인터넷프로토콜,4,2,,COSE242,,,3,3,창의적문제해결,정보대학,컴퓨터학과,컴퓨터학과,,,3
