구분,학수번호,교과목명,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,학점,시간,대학,학과,개설학과,내용,메모,개설횟수
전공필수,BUSS205,마케팅원론,2,1,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공필수,BUSS207,재무관리,2,1,창의적문제해결,,BUSS152|BUSS154,,,3,3,경영대학,경영학과,경영학과,,,5
전공필수,BUSS211,오퍼레이션스관리,2,1,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공필수,BUSS213,중급회계I,2,1,융합적사고,BUSS152,,,,3,3,경영대학,경영학과,경영학과,,,5
전공필수,BUSS215,경영정보시스템,2,1,창의적문제해결,,BUSS151,,,3,3,경영대학,경영학과,경영학과,,,5
전공필수,BUSS311,조직행동론,3,1,공감소통,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공필수,BUSS313,국제경영론,3,1,글로벌,,ECON203,,,3,3,경영대학,경영학과,경영학과,,,5
전공필수,BUSS402,경영전략,4,1,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS003,Topic Course,,,,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS165,창업가의마인드셋,1,1,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS202,사회적가치와지속가능경영,2,1,사회적책임,,BUSS164,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS203,경영수학,2,2,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS204,세계경제와기업,2,1,글로벌,,,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS214,중급회계II,2,2,융합적사고,BUSS152,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS216,비즈니스애널리틱스I,2,1,융합적사고,,BUSS154,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS217,비즈니스애널리틱스II,2,2,창의적문제해결,,BUSS154|BUSS215,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS236,ESG경영,2,1,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,3
전공선택,BUSS238,광고론,2,2,융합적사고,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS244,관리회계,2,2,융합적사고,BUSS152,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS246,경영과학,2,2,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS248,기업경제학,2,2,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS252,마케팅조사론,2,2,융합적사고,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS254,투자론,2,2,창의적문제해결,BUSS207,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS256,빅데이터분석과해석의기초,2,2,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS259,벤처경영,2,1,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS301,사회적가치프로젝트,3,2,도전적리더,,BUSS164|BUSS202,,,3,5,경영대학,경영학과,경영학과,,,1
전공선택,BUSS302,파이낸셜애널리틱스,3,1,융합적사고,BUSS216|BUSS216,BUSS217|BUSS254|BUSS217|BUSS254,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS303,디자인씽킹과디지털혁신,3,2,융합적사고,,BUSS215,,,3,3,경영대학,경영학과,경영학과,,,2
전공선택,BUSS305,인공지능과비즈니스,3,2,창의적문제해결,,BUSS217|BUSS453,,,3,3,경영대학,경영학과,경영학과,,,2
전공선택,BUSS306,전략적기술사업화,3,1,창의적문제해결,,BUSS165|BUSS259,,,3,3,경영대학,경영학과,경영학과,,,3
전공선택,BUSS307,플랫폼비즈니스모델과디지털대전환,3,2,융합적사고,,BUSS215|BUSS256,,,3,3,경영대학,경영학과,경영학과,,,2
전공선택,BUSS316,오퍼레이션스애널리틱스,3,1,융합적사고,,BUSS154,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS317,소셜미디어애널리틱스,3,1,창의적문제해결,,BUSS215,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS321,지역연구(중국),3,1,글로벌,,,,,3,3,경영대학,경영학과,경영학과,,,1
전공선택,BUSS322,지역연구(일본),3,2,글로벌,,,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS325,Korean Business & Management in the Global Context,3,1,글로벌,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS328,거시경제와글로벌비즈니스이해,3,2,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS330,중국경제론,3,2,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,1
전공선택,BUSS331,국제무역론,3,1,융합적사고,,ECON120,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS335,IT기반비즈니스모델,3,1,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,2
전공선택,BUSS340,국제마케팅론,3,2,글로벌,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS342,소비자행동,3,1,융합적사고,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS344,국제금융론,3,2,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS352,세무회계,3,2,융합적사고,BUSS152,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS354,회계학이론,3,1,융합적사고,BUSS152,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS355,노사관계론,3,2,공감소통,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS356,혁신과전략,3,1,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,3
전공선택,BUSS358,인적자원관리,3,2,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS361,고급회계,3,1,융합적사고,BUSS152,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS362,유통관리,3,2,융합적사고,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS363,마케팅전략,3,1,창의적문제해결,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS364,기업윤리,3,1,사회적책임,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS365,조직디자인과경쟁우위,3,1,융합적사고,BUSS311,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS367,국제재무관리,3,2,융합적사고,BUSS207,,,,3,3,경영대학,경영학과,경영학과,,,1
전공선택,BUSS376,서비스운영관리,3,2,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS377,전략적수요및수익관리,3,1,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,3
전공선택,BUSS382,보험과위험관리,3,1,사회적책임,,BUSS207,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS384,기업재무,3,1,융합적사고,BUSS207,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS385,정보보안관리,3,1,사회적책임,,BUSS215,,,3,3,경영대학,경영학과,경영학과,,,2
전공선택,BUSS386,선물옵션,3,2,융합적사고,BUSS207|BUSS207,BUSS254|BUSS254,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS390,Business-to-Business마케팅,3,1,창의적문제해결,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS392,서비스마케팅,3,2,융합적사고,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,1
전공선택,BUSS393,현대기아차글로벌마케팅전략,3,1,융합적사고,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS394,비즈니스협상,3,2,공감소통,BUSS311,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS395,마케팅애널리틱스,3,2,창의적문제해결,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,3
전공선택,BUSS397,벤처투자운용론,3,1,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS405,마케팅과혁신,4,2,창의적문제해결,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,2
전공선택,BUSS407,신상품개발과마케팅,4,1,창의적문제해결,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS409,소셜벤처창업,4,1,사회적책임,,BUSS152|BUSS205|BUSS207,,,3,3,경영대학,경영학과,경영학과,,,3
전공선택,BUSS410,기술혁신관리:성공적Entrepreneurship의기초,4,1,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS413,기업지배구조의이론과실제,4,1,융합적사고,BUSS207,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS414,채권론,4,1,융합적사고,BUSS207|BUSS207,BUSS203|BUSS203,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS415,위험관리,4,2,창의적문제해결,BUSS207|BUSS207,BUSS203|BUSS203,,,3,3,경영대학,경영학과,경영학과,,,5
