구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공필수,KORE201,한국문학의이해,3,3,1,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공필수,KORE230,한국어학의이해,3,3,1,2,창의적문제해결,,,,,문과대학,국어국문학과,국어국문학과,,,2
전공선택,KORE003,무제강좌,3,3,1,1,세계속의한국문화,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE208,한국어정보처리,3,3,3,1,디지털,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE209,현대시론,3,3,2,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE210,현대비평론,3,3,2,2,창의적문제해결,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE211,현대희곡론,3,3,2,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE212,한국근대문학의형성,3,3,2,2,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE213,현대문학사,3,3,2,2,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE215,고전문학사,3,3,2,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE216,한국한문학강독,3,3,2,2,문화콘텐츠,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE217,구비문학론,3,3,2,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE218,근세시가론,3,3,2,2,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE219,고전소설론,3,3,2,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE223,현대소설론,3,3,2,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE224,전통연희론,3,3,3,2,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE227,국어교과교육론,3,3,3,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE228,국어교과교재연구및지도법,2,2,4,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE229,국어교과논리및논술,3,3,3,2,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE231,한국어음운의이해,3,3,2,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE233,한국어발달사,3,3,3,2,창의적문제해결,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE234,한국어문법의이해,3,3,2,2,창의적문제해결,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE235,한국어표현론,3,3,2,2,창의적문제해결,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE236,한국어의미의이해,3,3,3,1,창의적문제해결,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE237,현대소설강독,3,3,3,2,문화콘텐츠,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE238,한국문학과동아시아문학,3,3,2,2,세계속의한국문화,,KORE201|KORE201,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE239,현대문학작품론,3,3,2,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE305,소설창작연습,3,3,3,1,창의적문제해결,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE306,시창작연습,3,3,3,2,창의적문제해결,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE307,현대극작가론,3,3,3,2,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,1
전공선택,KORE309,한국한문학개론,3,3,3,1,전문적자기실현,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE311,고전시가강독,3,3,3,1,문화콘텐츠,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE312,고전산문강독,3,3,3,2,문화콘텐츠,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE314,고전비평선독,3,3,3,2,창의적문제해결,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE317,외국어로서의한국어교육,3,3,3,1,세계속의한국문화,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE319,한국어방언의이해,3,3,3,1,사회적변화주도,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE320,북한의한국어학,3,3,3,2,사회적변화주도,,,,,문과대학,국어국문학과,국어국문학과,,,0
전공선택,KORE322,한국어화용론,3,3,3,2,전문적자기실현,KORE230|KORE230|KORE230,KORE236|KORE236|KORE236,,,문과대학,국어국문학과,국어국문학과,,,0
