구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,PHIL020,철학토픽코스I,3,3,1,1,통합적사고,,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL030,철학토픽코스II,3,3,2,2,통합적사고,,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL191,서양철학개론,3,3,1,1,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,5
전공선택,PHIL192,동양철학개론,3,3,1,2,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,5
전공선택,PHIL207,형이상학,3,3,2,2,통합적사고,,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL209,기호논리학,3,3,2,1,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,4
전공선택,PHIL220,윤리학,3,3,2,2,윤리의식,,,,,문과대학,철학과,철학과,,,4
전공선택,PHIL222,인식론,3,3,3,2,통합적사고,,,,,문과대학,철학과,철학과,,,3
전공선택,PHIL224,유가철학,3,3,2,2,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL225,도가철학,3,3,2,2,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL226,불교철학,3,3,2,1,의사소통 ,,,,,문과대학,철학과,철학과,,,3
전공선택,PHIL311,한국성리학,3,3,2,2,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL312,한국철학사,3,3,2,2,통합적사고,,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL321,서양고대철학,3,3,2,1,통합적사고,,,,,문과대학,철학과,철학과,,,3
전공선택,PHIL322,서양중세철학,3,3,2,1,통합적사고,,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL331,중국선진철학,3,3,2,1,통합적사고,,,,,문과대학,철학과,철학과,,,3
전공선택,PHIL332,중국양한위진철학,3,3,2,2,다문화포용,,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL334,중국송명철학,3,3,2,2,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL335,인도철학사,3,3,2,1,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,3
전공선택,PHIL344,서양근세철학,3,3,2,2,통합적사고,,,,,문과대학,철학과,철학과,,,3
전공선택,PHIL345,독일고전철학,3,3,2,1,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,3
전공선택,PHIL346,현대유럽철학,3,3,2,1,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL347,현대영미철학,3,3,2,1,통합적사고,,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL349,중국근현대철학,3,3,2,1,통합적사고,,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL351,심리철학,3,3,2,1,통합적사고,,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL353,철학적인간학,3,3,2,2,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL355,언어철학,3,3,,,,,,,,문과대학,철학과,철학과,,전공역량 안적혀있음,1
전공선택,PHIL356,과학철학,3,3,2,1,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL358,미학,3,3,2,2,통합적사고,,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL365,동양윤리와법사상,3,3,3,2,통합적사고,,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL367,법철학,3,3,3,2,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL375,논리철학,3,3,3,1,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL376,고급논리,3,3,3,1,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL381,해석학,3,3,2,1,의사소통 ,,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL386,정치철학강의,3,3,2,1,다문화포용,,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL391,사회철학,3,3,3,2,윤리의식,,,,,문과대학,철학과,철학과,,,2
전공선택,PHIL394,응용윤리학,3,3,3,2,통합적사고,,,,,문과대학,철학과,철학과,,,1
전공선택,PHIL395,귀납논리,3,3,2,2,"창의적사고,비판적사고",,,,,문과대학,철학과,철학과,,,1
