구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공필수,HOKA001,한국역사입문,3,3,1,1,통합적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공필수,HOKA201,고적조사실습,3,3,2,1,통합적사고,,,,,문과대학,한국사학과,한국사학과,,,5
전공선택,HOKA002,Topics in History of Korea,3,3,1,2,다문화포용,,,,,문과대학,한국사학과,한국사학과,,1-2다문화포용,1
전공선택,HOKA004,INTRODUCTION TO KOREAN AND EAST ASIAN HISTORY ,3,3,1,1,다문화포용,,,,,문과대학,한국사학과,한국사학과,,1-1다문화포용,4
전공선택,HOKA005,한국사입문,3,3,1,1,다문화포용,,,,,문과대학,한국사학과,한국사학과,,,5
전공선택,HOKA217,한국근대사,3,3,2,1,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,5
전공선택,HOKA231,한국고대사,3,3,2,1,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA232,고려시대사,3,3,2,2,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA233,조선시대사,3,3,2,1,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA234,한국현대사,3,3,2,2,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA235,한국정치사,3,3,2,1,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,1
전공선택,HOKA236,한국경제사,3,3,2,2,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,1
전공선택,HOKA237,한국사회사,3,3,2,1,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,1
전공선택,HOKA238,한국문화사,3,3,2,2,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,1
전공선택,HOKA241,한국사와데이터과학I,3,3,2,1,창의적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA242,한국사와데이터과학II,3,3,2,2,창의적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA301,한국사학사,3,3,3,1,통합적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA303,한국사자료선독I,3,3,3,1,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,1
전공선택,HOKA304,한국사자료선독II,3,3,3,2,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,0
전공선택,HOKA305,한국사연습II,3,3,3,1,창의적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA306,한국사연습I,3,3,3,2,창의적사고,,,,,문과대학,한국사학과,한국사학과,,,1
전공선택,HOKA308,한국국제관계사,3,3,3,2,다문화포용,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA336,해외의한국사연구동향,3,3,3,2,다문화포용,,,,,문과대학,한국사학과,한국사학과,,,1
전공선택,HOKA337,북한의한국사연구동향,3,3,3,1,사회공헌,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA341,한국생태환경사,3,3,3,1,사회공헌,,,,,문과대학,한국사학과,한국사학과,,,0
전공선택,HOKA343,박물관과문화콘텐츠,3,3,3,1,자기실현,,,,,문과대학,한국사학과,한국사학과,,,1
전공선택,HOKA344,북한사특강,3,3,3,2,사회공헌,,,,,문과대학,한국사학과,한국사학과,,,1
