구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공필수,HOEW201,역사학개론,3,3,2,1,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW119,역사유산과문화콘텐츠,3,3,1,1,창의력,,,,,문과대학,사학과,사학과,,,1
전공선택,HOEW202,동아시아사입문,3,3,2,2,공감소통,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW204,서양사입문,3,3,2,2,공감소통,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW222,티베트사,3,3,2,2,공감소통,,,,,문과대학,사학과,사학과,,,2
전공선택,HOEW223,다민족의중국사,3,3,2,1,다중정체성,,,,,문과대학,사학과,사학과,,,1
전공선택,HOEW305,중국문명과제국체제,3,3,3,1,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW306,중화제국의분열과통일,3,3,3,2,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW307,중국근세사,3,3,3,1,다중정체성,,,,,문과대학,사학과,사학과,,,4
전공선택,HOEW308,동아시아근대사,3,3,3,2,다중정체성,,,,,문과대학,사학과,사학과,,,4
전공선택,HOEW311,서양고대사,3,3,3,1,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW312,서양중세사,3,3,3,2,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW313,서양근세사,3,3,3,1,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW314,서양현대사,3,3,3,2,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW315,서양최근세사,3,3,3,1,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW352,일본근대사,3,3,3,2,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW363,영국문화사,3,3,3,1,다중정체성,,,,,문과대학,사학과,사학과,,,4
전공선택,HOEW364,프랑스문화사,3,3,3,2,다중정체성,,,,,문과대학,사학과,사학과,,,4
전공선택,HOEW365,독일문화사,3,3,3,1,다중정체성,,,,,문과대학,사학과,사학과,,,4
전공선택,HOEW366,러시아문화사,3,3,3,2,다중정체성,,,,,문과대학,사학과,사학과,,,4
전공선택,HOEW367,미국문화사,3,3,3,1,다중정체성,,,,,문과대학,사학과,사학과,,,3
전공선택,HOEW401,일본사,3,3,4,1,다중정체성,,,,,문과대학,사학과,사학과,,,4
전공선택,HOEW402,동남아시아사,3,3,4,2,다중정체성,,,,,문과대학,사학과,사학과,,,4
전공선택,HOEW403,인도사,3,3,4,1,다중정체성,,,,,문과대학,사학과,사학과,,,3
전공선택,HOEW406,한중관계사,3,3,,,,,,,,문과대학,사학과,사학과,,전공역량 안적힘,5
전공선택,HOEW409,동아시아현대사,3,3,4,1,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW412,오리엔트문명사,3,3,4,2,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW417,서양의자본주의와제국주의,3,3,4,1,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW420,중국혁명과중국공산당,3,3,4,2,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW421,중국사특강I,3,3,,,,,,,,문과대학,사학과,사학과,,전공역량안적힘,5
전공선택,HOEW422,중국사특강II,3,3,,,,,,,,문과대학,사학과,사학과,,전공역량안적힘,4
전공선택,HOEW431,서양사특강I,3,3,,,,,,,,문과대학,사학과,사학과,,전공역량안적힘,4
전공선택,HOEW432,서양사특강II,3,3,,,,,,,,문과대학,사학과,사학과,,전공역량안적힘,3
전공선택,HOEW435,서양중세정치와근대국가,3,3,4,1,다중정체성,,,,,문과대학,사학과,사학과,,,0
전공선택,HOEW444,냉전사,3,3,4,2,변화주도,,,,,문과대학,사학과,사학과,,,0
전공선택,HOEW446,제노사이드와홀로코스트,3,3,4,2,공감소통,,,,,문과대학,사학과,사학과,,,1
전공선택,HOEW450,중국문화사,3,3,4,2,다중정체성,,,,,문과대학,사학과,사학과,,,3
전공선택,HOEW451,중국사학사,3,3,4,1,창의력,,,,,문과대학,사학과,사학과,,,2
전공선택,HOEW454,일본사특강,3,3,,,,,,,,문과대학,사학과,사학과,,전공역량안적힘,2
전공선택,HOEW457,내륙아시아와중화세계,3,3,,,,,,,,문과대학,사학과,사학과,,전공역량안적힘,2
전공선택,HOEW458,동아시아사세미나,3,3,,,,,,,,문과대학,사학과,사학과,,전공역량안적힘,2
전공선택,HOEW459,동아시아사사료선독,3,3,,,,,,,,문과대학,사학과,사학과,,전공역량안적힘,3
전공선택,HOEW466,서양사학사,3,3,4,2,창의력,,,,,문과대학,사학과,사학과,,,2
전공선택,HOEW468,라틴아메리카근현대사,3,3,4,2,다중정체성,,,,,문과대학,사학과,사학과,,,5
전공선택,HOEW482,젠더의역사,3,3,4,2,공감소통,,,,,문과대학,사학과,사학과,,,2
학문의기초,COLA173,디지털인문학응용,3,3,1,,,,,,,문과대학,사학과,문과대학,,,0
전공인정,COLA200,인문융합세미나,3,3,1,,,,,,,문과대학,사학과,문과대학,,,0
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,문과대학,사학과,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,문과대학,사학과,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,문과대학,사학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,문과대학,사학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,문과대학,사학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,문과대학,사학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,3,3,1,2,,,,,,문과대학,사학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,3,3,1,,,,,,,문과대학,사학과,,,,1
교양선택,"CHIN103	",교양중국어I,3,5,,,,,,,,문과대학,사학과,중어중문학과,,,0
교양선택,CHIN104,교양중국어II,3,5,,,,,,,,문과대학,사학과,중어중문학과,,,4
교양선택,FRAN141,교양프랑스어I,3,5,,,,,,,,문과대학,사학과,불어불문학과,,,4
교양선택,FRAN142,교양프랑스어II,3,5,,,,,,,,문과대학,사학과,불어불문학과,,,4
교양선택,GERM161,교양독일어I,3,5,,,,,,,,문과대학,사학과,독어독문학과,,,4
