구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공필수,SOCI291,사회학적상상력,3,3,,,,,,,,문과대학,사회학과,사회학과,,전공역량안적힘,5
전공필수,SOCI292,사회학발달사,3,3,,,,,,,,문과대학,사회학과,사회학과,,전공역량안적힘,5
전공필수,SOCI294,사회조사방법,3,3,,,,,,,,문과대학,사회학과,사회학과,,전공역량안적힘,5
전공필수,SOCI295,사회통계,3,3,,,,,,,,문과대학,사회학과,사회학과,,전공역량안적힘,5
전공선택,SOCI205,사회계층론,3,3,3,1,사회적책임,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI207,현대사회학이론,3,3,2,1,창의융합적사고,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI225,한국사회의구조와변동,3,3,3,1,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI233,사회조직론,3,3,2,1,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI236,가족사회학,3,3,2,2,문제해결,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI240,사회심리학,3,3,2,1,공감소통,,,,,문과대학,사회학과,사회학과,,,4
전공선택,SOCI242,사회문제론,3,3,3,2,문제해결,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI243,사회행위론,3,3,2,1,공감소통,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI246,"젠더,국가와정책",3,3,2,2,사회적책임,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI248,사회연결망분석,3,3,2,2,문제해결,,,,,문과대학,사회학과,사회학과,,,4
전공선택,SOCI249,중급사회통계,3,3,3,1,문제해결,,,,,문과대학,사회학과,사회학과,,,0
전공선택,SOCI255,환경사회학,3,3,2,1,문제해결,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI262,정보사회학,3,3,2,2,문제해결,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI264,복지사회학,3,3,2,2,사회적책임,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI272,행위와실천의상상력,3,3,2,2,공감소통,,,,,문과대학,사회학과,사회학과,,,1
전공선택,SOCI273,북한사회의이해,3,3,2,1,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI282,사회혁신과창의성,3,3,3,2,문제해결,,,,,문과대학,사회학과,사회학과,,,1
전공선택,SOCI290,사회학으로의초대,3,3,1,2,공감소통,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI297,도시와사회,3,3,2,1,문제해결,,,,,문과대학,사회학과,사회학과,,,4
전공선택,SOCI299,대중문화론,3,3,2,1,공감소통,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI315,사회발전론,3,3,3,1,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI316,현대사회사상,3,3,3,2,공감소통,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI318,사회학의핵심현장,3,3,3,2,문제해결,,,,,문과대학,사회학과,사회학과,,,0
전공선택,SOCI321,데이터사이언스와사회학,3,3,3,1,문제해결,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI343,비교사회학,3,3,3,1,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,4
전공선택,SOCI347,한국의사회와문화,3,3,3,2,창의융합적사고,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI348,집합행동론,3,3,3,2,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI352,생애과정의사회학,3,3,3,1,문제해결,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI355,사회조사실습,3,3,3,1,문제해결,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI358,직업과사회,3,3,3,2,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI360,과학기술사회학,3,3,3,2,문제해결,,,,,문과대학,사회학과,사회학과,,,4
전공선택,SOCI361,영상사회학,3,3,3,1,공감소통,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI362,종교사회학,3,3,3,2,사회적책임,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI363,질적연구방법,3,3,3,1,문제해결,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI365,노동사회학,3,3,3,1,문제해결,,,,,문과대학,사회학과,사회학과,,,4
전공선택,SOCI373,사회변동론,3,3,3,1,문제해결,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI375,건강과의료의사회학,3,3,3,2,문제해결,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI376,정신건강의사회학,3,3,3,2,공감소통,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI379,일반사회교과교육론,3,3,3,1,공감소통,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI380,일반사회교과교재연구및지도법,3,3,3,2,공감소통,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI381,일반사회교과논리및논술,3,3,3,2,공감소통,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI398,젠더와사회,3,3,3,2,사회적책임,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI446,문화사회학,3,3,4,2,창의융합적사고,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI458,과학과민주주의,3,3,4,2,사회적책임,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI463,팬데믹사회학,3,3,4,1,문제해결,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI464,법과사회,3,3,4,2,문제해결,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI465,정치사회학,3,3,4,1,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,4
전공선택,SOCI466,범죄사회학,3,3,4,2,문제해결,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI467,경제사회학,3,3,4,1,문제해결,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI468,노년사회학,3,3,4,2,사회적책임,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI471,역사사회학,3,3,4,1,공감소통,,,,,문과대학,사회학과,사회학과,,,4
전공선택,SOCI480,사회운동조직론,3,3,4,2,사회적책임,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI481,몸과섹슈얼리티,3,3,4,1,공감소통,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI482,국제지역사회연구,3,3,4,2,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI485,실업과고용정책,3,3,4,1,사회적책임,,,,,문과대학,사회학과,사회학과,,,5
전공선택,SOCI486,조직과환경,3,3,4,2,공감소통,,,,,문과대학,사회학과,사회학과,,,1
전공선택,SOCI490,식품과사회,3,3,4,2,문제해결,,,,,문과대학,사회학과,사회학과,,,2
전공선택,SOCI493,국제이주와다문화사회,3,3,4,1,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,3
전공선택,SOCI495,복지국가의비교사회학,3,3,4,1,문제해결,,,,,문과대학,사회학과,사회학과,,,4
전공선택,SOCI496,사회문제와복지국가,3,3,4,2,문제해결,,,,,문과대학,사회학과,사회학과,,,4
전공선택,SOCI497,빈곤과빈곤정책,3,3,4,1,글로벌리더쉽,,,,,문과대학,사회학과,사회학과,,,5
학문의기초,COLA173,디지털인문학응용,3,3,1,,,,,,,문과대학,사회학과,문과대학,,,0
전공인정,COLA200,인문융합세미나,3,3,1,,,,,,,문과대학,사회학과,문과대학,,,0
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,문과대학,사회학과,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,문과대학,사회학과,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,문과대학,사회학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,문과대학,사회학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,문과대학,사회학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,문과대학,사회학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,3,3,1,2,,,,,,문과대학,사회학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,3,3,1,,,,,,,문과대학,사회학과,,,,1
