구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공필수,HANM201,맹자읽기I,3,3,2,1,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,5
전공필수,HANM242,맹자읽기II,3,3,2,2,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,5
전공필수,HANM302,한국한문학사,3,3,3,2,고전인문학의소양,,,,,문과대학,한문학과,한문학과,,,5
전공필수,HANM361,논어읽기,3,3,3,1,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,5
전공선택,HANM250,한문독해의첫걸음,3,3,1,2,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,5
전공선택,HANM251,서예의감상과실습I,3,3,2,1,고전인문학의소양,,,1,,문과대학,한문학과,한문학과,,,5
전공선택,HANM252,서예의감상과실습II,3,3,2,2,고전인문학의소양,,,1,,문과대학,한문학과,한문학과,,,1
전공선택,HANM253,한자의이해,3,3,1,1,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM254,한국한문소설명작감상,3,3,3,2,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM255,사기열전의역사와인물,3,3,2,1,인간과사회의이해,,,,,문과대학,한문학과,한문학과,,,4
전공선택,HANM256,삼국유사와한국고대문화,3,3,2,2,동아시아와세계에대한식견,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM257,한문학과문화유산,3,3,1,1,실용적·융합적사고와기술,,,,,문과대학,한문학과,한문학과,,,5
전공선택,HANM258,한자문화권의역사와문화,3,3,1,2,동아시아와세계에대한식견,,,,,문과대학,한문학과,한문학과,,,2
전공선택,HANM259,한시의세계,3,3,2,1,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,4
전공선택,HANM260,제자백가의시대와사상,3,3,4,2,인간과사회의이해,,,,,문과대학,한문학과,한문학과,,,2
전공선택,HANM261,한문소설의세계,3,3,3,1,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,2
전공선택,HANM262,한국한시명작감상,3,3,2,2,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,2
전공선택,HANM264,한문학입문,3,3,2,2,고전인문학의소양,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM351,한문학비평의세계,3,3,3,1,고전인문학의소양,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM354,한국한문산문명작감상,3,3,2,2,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM360,한문교과교육론,3,3,3,2,실용적·융합적사고와기술,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM362,통감읽기,3,3,3,2,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,4
전공선택,HANM363,한문교과교재연구및지도법,3,3,3,1,실용적·융합적사고와기술,,,,,문과대학,한문학과,한문학과,,,4
