구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,ENGL201,영미시개론,3,3,2,1,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL202,영미소설개론,3,3,2,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL203,영미희곡개론,3,3,2,1,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,1
전공선택,ENGL211,영어학개론,3,3,2,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL218,응용언어학개론,3,3,2,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL220,전공영문글쓰기,3,3,2,1,소통을통한공동체기여능력,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL236,영문법,3,3,2,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL238,영어음성학,3,3,2,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,2
전공선택,ENGL267,고전영문학의흐름,3,3,2,1,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL270,근대영문학의흐름,3,3,2,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL280,미국문학의흐름,3,3,2,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL281,영미문학과대중문화,3,3,2,1,소통을통한공동체기여능력,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL327,영미문학과영화,3,3,3,1,세계시민의자질,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL329,영어의사회언어학,3,3,3,1,세계시민의자질,,,,,문과대학,영어영문학과,영어영문학과,,,2
전공선택,ENGL332,셰익스피어,3,3,3,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL333,현대미국소설,3,3,3,1,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL335,영미시연구,3,3,3,1,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL336,현대영국소설,3,3,3,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL338,현대영국시,3,3,3,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL343,미국시,3,3,3,1,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL358,19세기영국시,3,3,3,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL359,19세기영국소설,3,3,3,1,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL361,영어발달사,3,3,3,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL362,19세기미국문학,3,3,3,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,2
전공선택,ENGL364,특수장르문학,3,3,3,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL372,초기영국소설,3,3,3,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL373,영어통사론,3,3,3,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL374,미국흑인문학,3,3,3,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL375,비평이론,3,3,3,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL376,중세르네상스영문학,3,3,3,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL378,영어권문학의이해,3,3,3,2,세계시민의자질,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL382,미국영화,3,3,3,2,세계시민의자질,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL383,영국희곡,3,3,3,1,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL384,미국희곡,3,3,3,2,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL386,영국산문,3,3,3,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL387,미국산문,3,3,3,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL390,영어음운론,3,3,3,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL395,번역연습,3,3,3,1,소통을통한공동체기여능력,,,,,문과대학,영어영문학과,영어영문학과,,,1
전공선택,ENGL396,영어의미론,3,3,3,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL398,영어습득론,3,3,3,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL399,영어학연구,3,3,3,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL401,초기미국문학,3,3,4,1,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL416,영어학특수과제,3,3,4,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,2
전공선택,ENGL418,미국소수민족문학,3,3,4,2,세계시민의자질,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL419,영미문학과젠더,3,3,4,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL421,영미문학특수과제I,3,3,4,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL422,영미문학특수과제II,3,3,4,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,0
전공선택,ENGL423,심리언어학,3,3,4,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL424,문화이론연구,3,3,4,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,3
전공선택,ENGL425,응용언어학특수과제,3,3,4,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL426,영문학과법,3,3,4,2,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL429,최근영미문학,3,3,4,1,세계시민의자질,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL432,영어교과교육론,3,3,4,2,소통을통한공동체기여능력,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL433,영어교과교재연구및지도법,2,2,4,1,소통을통한공동체기여능력,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL434,영어교과논리및논술,3,3,4,2,소통을통한공동체기여능력,,,,,문과대학,영어영문학과,영어영문학과,,,4
전공선택,ENGL435,영문학과계몽주의,3,3,4,1,영어권언어와문화에대한전문지식,,,,,문과대학,영어영문학과,영어영문학과,,,5
전공선택,ENGL437,영어음성학응용,3,3,4,1,전공지식의확장과응용,,,,,문과대학,영어영문학과,영어영문학과,,,4
학문의기초,ENGL155,고급영어,3,3,1,1,소통을통한공동체기여능력,,,,,문과대학,영어영문학과,영어영문학과,,,4
학문의기초,COLA173,디지털인문학응용,3,3,1,,,,,,,문과대학,영어영문학과,문과대학,,,0
전공인정,COLA200,인문융합세미나,3,3,1,,,,,,,문과대학,영어영문학과,문과대학,,,0
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,문과대학,영어영문학과,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,문과대학,영어영문학과,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,문과대학,영어영문학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,문과대학,영어영문학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,문과대학,영어영문학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,문과대학,영어영문학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,3,3,1,2,,,,,,문과대학,영어영문학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,3,3,1,,,,,,,문과대학,영어영문학과,,,,1
