구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공필수,GERM351,독어 CEFR B I-I,3,3,3,1,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,3-1공감력,5
전공필수,GERM352,독어 CEFR B I-II,3,3,3,2,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,3-2공감력,5
전공선택,GERM003,무제강좌,3,3,2,1,"창의적사고,문제해결",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM203,독어학개론,3,3,1,1,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,5
전공선택,GERM205,독문학개론,3,3,1,1,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,5
전공선택,GERM210,독일명작의고향,3,3,1,2,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,3
전공선택,GERM222,광고로읽는독일문화,3,3,1,2,"윤리의식,사회공헌",,,,,문과대학,독어독문학과,독어독문학과,,,2
전공선택,GERM226,독일의대중문화,3,3,1,2,"윤리의식,사회공헌",,,,,문과대학,독어독문학과,독어독문학과,,,2
전공선택,GERM227,독일문화의이해,3,3,1,1,"다문화포용,갈등통합",,,,,문과대학,독어독문학과,독어독문학과,,,2
전공선택,GERM228,독어학과문화이해,3,3,1,2,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM232,독일문학사,3,3,1,2,"다문화포용,갈등통합",,,,,문과대학,독어독문학과,독어독문학과,,,2
전공선택,GERM234,독한번역연습,3,3,1,2,"창의적사고,문제해결",,,,,문과대학,독어독문학과,독어독문학과,,,2
전공선택,GERM237,독어어휘연습I,3,3,1,1,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM238,독어어휘연습II,3,3,1,2,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM256,영상으로읽는독일문화,3,3,1,2,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,3
전공선택,GERM258,독일어권지역탐방,3,3,1,2,"다문화포용,갈등통합",,,,,문과대학,독어독문학과,독어독문학과,,,1
전공선택,GERM303,독시선독,3,3,2,1,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM305,독희곡의이해,3,3,2,1,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM306,독산문강독,3,3,,,,,,,,문과대학,독어독문학과,독어독문학과,,전공역량안적힘,2
전공선택,GERM323,독일어권문화와예술,3,3,2,1,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,2
전공선택,GERM325,독일문학과미디어,3,3,2,1,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM326,의사소통의독어학,3,3,2,2,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM330,독일문화사,3,3,2,2,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,3
전공선택,GERM332,독소설의이해,3,3,2,2,"다문화포용,갈등통합",,,,,문과대학,독어독문학과,독어독문학과,,,2
전공선택,GERM335,독일어권정치경제개관,3,3,2,1,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,5
전공선택,GERM338,독일어권사회와언어,3,3,2,2,"다문화포용,갈등통합",,,,,문과대학,독어독문학과,독어독문학과,,,0
전공선택,GERM339,독일문화산업,3,3,2,1,"창의적사고,문제해결",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM344,한독문화간커뮤니케이션,3,3,2,2,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,5
전공선택,GERM346,독일의기업문화,3,3,1,2,"다문화포용,갈등통합",,,,,문과대학,독어독문학과,독어독문학과,,,3
전공선택,GERM349,독해와문법I,3,3,2,1,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,5
전공선택,GERM350,독해와문법II,3,3,2,2,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,2
전공선택,GERM355,독일어권역사와민속문화,3,3,2,1,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,3
전공선택,GERM357,독일어텍스트의이해,3,3,2,1,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,2
전공선택,GERM361,독문학작품번역,3,3,2,1,"자기실현,변화주도",,,,,문과대학,독어독문학과,독어독문학과,,,1
전공선택,GERM365,인터액티브독일어I,3,3,2,1,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,1
전공선택,GERM366,인터액티브독일어II,3,3,2,2,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,1
전공선택,GERM367,독일어작문,3,3,2,2,"창의적사고,문제해결",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM370,B1회화연습,3,3,1,1,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,0
전공선택,GERM371,독일지역학,3,3,2,1,"전문가적,통합적사고",,,,,문과대학,독어독문학과,독어독문학과,,,4
전공선택,GERM411,독일현대연극,3,3,,,,,,,,문과대학,독어독문학과,독어독문학과,,전공역량안적힘,2
전공선택,GERM417,독일어교과교육론,3,3,,,,,,,,문과대학,독어독문학과,독어독문학과,,전공역량안적힘,1
전공선택,GERM418,독일어교과교재연구및지도법,3,3,3,2,"창의적사고,문제해결",,,,,문과대학,독어독문학과,독어독문학과,,,2
전공선택,GERM419,미디어독일어,3,3,3,1,"공감력,의사소통",,,,,문과대학,독어독문학과,독어독문학과,,,3
전공선택,GERM421,독일사상과문화의흐름,3,3,3,1,"윤리의식,사회공헌",,,,,문과대학,독어독문학과,독어독문학과,,,1
전공선택,GERM425,독일동화와민담,3,3,3,1,"다문화포용,갈등통합",,,,,문과대학,독어독문학과,독어독문학과,,,2
