구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,FRAN209,프랑스어문법,3,3,2,1,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN215,집중프랑스어,3,3,2,1,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,4
전공선택,FRAN224,프랑스학입문,3,3,1,2,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN231,프랑스문학의이해,3,3,1,1,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN232,프랑스어텍스트강독,3,3,2,2,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,4
전공선택,FRAN233,프랑스어의이해,3,3,1,1,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN234,프랑스역사와문화의이해,3,3,1,2,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN241,DELFI,3,3,2,1,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN242,DELFII,3,3,2,2,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN244,프랑스어번역문법,3,3,2,2,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN308,프랑스언어학의이해,3,3,3,2,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN333,비즈니스프랑스어,3,3,2,1,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN335,프랑스문학사I,3,3,2,1,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN337,불한대조분석,3,3,2,1,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,4
전공선택,FRAN339,프랑스시와번역,3,3,2,1,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN340,프랑스문학사II,3,3,2,2,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN344,프랑스어텍스트번역연습,3,3,3,2,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN345,프랑스어와미디어,3,3,3,1,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN346,프랑스어고급문법,3,3,3,2,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,4
전공선택,FRAN347,프랑스어권문학,3,3,3,1,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN348,프랑스인문학텍스트읽기,3,3,2,2,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,1
전공선택,FRAN349,번역의이해,3,3,3,1,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN350,프랑스소설과번역,3,3,2,2,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN351,프랑스시의이해,3,3,3,1,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN352,프랑스어권언어와문화,3,3,3,2,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN353,프랑스희곡과시나리오,3,3,3,1,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN354,프랑스소설과작가,3,3,3,2,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN355,프랑스의언어와역사,3,3,3,1,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN357,프랑스현대소설,3,3,3,1,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN359,프랑스문화산업,3,3,2,1,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN361,프랑스아동문학의이해,3,3,2,1,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,1
전공선택,FRAN362,프랑스근현대시,3,3,3,2,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,1
전공선택,FRAN363,프랑스여성작가연구,3,3,3,1,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,0
전공선택,FRAN364,토픽프랑스문학,3,3,2,2,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,1
전공선택,FRAN365,PBL프랑스문학,3,3,3,1,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,0
전공선택,FRAN366,융합프랑스문학,3,3,3,2,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,1
전공선택,FRAN368,프랑스학Living Lab,3,3,3,2,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,3-2창의역량,0
전공선택,FRAN427,프랑스어교과교육론,3,3,4,1,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,5
전공선택,FRAN428,프랑스어교과교재연구및지도법,3,3,3,2,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN431,번역과글쓰기,3,3,4,1,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN433,실용텍스트번역,3,3,4,1,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN434,프랑스어교과논리및논술,3,3,4,2,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,4
전공선택,FRAN437,프랑스어실용작문,3,3,4,1,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN440,번역분석과평가,3,3,4,2,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,3
전공선택,FRAN442,번역의역사와문화,3,3,4,2,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN444,한불번역의실제,3,3,3,2,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN448,프랑스문학과비교문학,3,3,4,2,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN450,국제관계프랑스어,3,3,2,2,글로벌리더십역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN451,프랑스사상과문화,3,3,4,1,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN452,프랑스문학과테크놀로지,3,3,4,2,프랑스학창의역량,,,,,문과대학,불어불문학과,불어불문학과,,,0
전공선택,FRAN453,프랑스비평사,3,3,4,1,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,2
전공선택,FRAN454,프랑스중세르네상스시,3,3,3,2,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,1
전공선택,FRAN456,프랑스중세르네상스산문,3,3,4,2,프랑스어문학심화역량,,,,,문과대학,불어불문학과,불어불문학과,,,1
학문의기초,FRAN171,프랑스어I,3,3,1,1,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,4
학문의기초,COLA173,디지털인문학응용,3,3,1,,,,,,,문과대학,불어불문학과,문과대학,,,0
학문의기초,FRAN172,프랑스어II,3,3,1,2,프랑스어소통역량,,,,,문과대학,불어불문학과,불어불문학과,,,4
전공인정,COLA200,인문융합세미나,3,3,1,,,,,,,문과대학,불어불문학과,문과대학,,,0
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,문과대학,불어불문학과,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,문과대학,불어불문학과,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,문과대학,불어불문학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,문과대학,불어불문학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,문과대학,불어불문학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,문과대학,불어불문학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,3,3,1,2,,,,,,문과대학,불어불문학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,3,3,1,,,,,,,문과대학,불어불문학과,,,,1
교양선택,FRAN141,교양프랑스어I,3,5,1,1,,,,,,문과대학,불어불문학과,불어불문학과,,,4
교양선택,FRAN142,교양프랑스어II,3,5,1,2,,,,,,문과대학,불어불문학과,불어불문학과,,,4
