구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,CHIN203,중국어회화I,3,3,2,1,의사소통,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN204,중국어회화II,3,3,2,2,의사소통,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN205,중급중국어강독I,3,5,2,1,공감력,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN206,중급중국어강독II,3,5,2,2,공감력,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN211,현대중국어문법I,3,3,2,1,전문가적사고,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN212,현대중국어문법II,3,3,2,2,전문가적사고,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN223,중국고전문학사I,3,3,2,1,창의적사고,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN224,중국고전문학사II,3,3,2,2,창의적사고,,,,,문과대학,중어중문학과,중어중문학과,,,4
전공선택,CHIN232,중국현대문학사,3,3,2,2,윤리의식,,,,,문과대학,중어중문학과,중어중문학과,,,4
전공선택,CHIN233,중국뉴미디어문화I,3,3,2,1,변화주도,,,,,문과대학,중어중문학과,중어중문학과,,,2
전공선택,CHIN234,중국뉴미디어문화II,3,3,2,2,변화주도,,,,,문과대학,중어중문학과,중어중문학과,,,2
전공선택,CHIN241,현대중국사회의이해,3,3,2,2,다문화포용,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN301,고급중국어연습I,3,3,3,1,공감력,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN302,고급중국어연습II,3,3,3,2,공감력,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN303,중국어작문I,3,3,3,1,의사소통,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN304,중국어작문II,3,3,3,2,의사소통,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN311,중국어의이해I,3,3,3,1,전문가적사고,,,,,문과대학,중어중문학과,중어중문학과,,,4
전공선택,CHIN312,중국어의이해II,3,3,3,2,전문가적사고,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN313,중국언어학주제탐구I,3,3,3,1,통합적사고,,,,,문과대학,중어중문학과,중어중문학과,,,0
전공선택,CHIN314,중국언어학주제탐구II,3,3,3,2,통합적사고,,,,,문과대학,중어중문학과,중어중문학과,,,0
전공선택,CHIN327,중국고전강독I,3,3,3,1,창의적사고,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN328,중국고전강독II,3,3,3,2,창의적사고,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN329,중국고전시가I,3,3,3,1,문제해결,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN330,중국고전시가II,3,3,3,2,문제해결,,,,,문과대학,중어중문학과,중어중문학과,,,4
전공선택,CHIN331,중국현대소설,3,3,3,1,사회공헌,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN332,중국현대시,3,3,3,2,사회공헌,,,,,문과대학,중어중문학과,중어중문학과,,,2
전공선택,CHIN341,중국고전소설I,3,3,2,2,문제해결,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN342,중국고전소설II,3,3,3,1,문제해결,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN383,중국의공연예술,3,3,3,1,갈등통합,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN394,인물로보는중국문화,3,3,3,2,갈등통합,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN397,중국인문지리,3,3,3,1,다문화포용,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN411,중국어사I,3,3,4,1,전문가적사고,,,,,문과대학,중어중문학과,중어중문학과,,,1
전공선택,CHIN412,중국어사II,3,3,4,2,전문가적사고,,,,,문과대학,중어중문학과,중어중문학과,,,1
전공선택,CHIN451,중국어세미나I,3,3,4,1,통합적사고,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN452,중국어세미나II,3,3,4,2,통합적사고,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN453,중국어통역연습,3,3,4,1,의사소통,,,,,문과대학,중어중문학과,중어중문학과,,,2
전공선택,CHIN481,중국현대문학비평,3,3,4,1,윤리의식,,,,,문과대학,중어중문학과,중어중문학과,,,4
전공선택,CHIN482,중국현대산문,3,3,4,2,사회공헌,,,,,문과대학,중어중문학과,중어중문학과,,,3
전공선택,CHIN485,중국문학과영상문화,3,3,4,1,다문화포용,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN489,중국어교과교육론,3,3,4,1,자기실현,,,,,문과대학,중어중문학과,중어중문학과,,,5
전공선택,CHIN494,중국어교과교재연구및지도법,2,2,4,2,변화주도,,,,,문과대학,중어중문학과,중어중문학과,,,5
