구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
학문의기초,RUSS171,러시아어I,3,3,1,1,,,,,,문과대학,노어노문학과,노어노문학과,,,4
학문의기초,COLA173,디지털인문학응용,3,3,1,,,,,,,문과대학,노어노문학과,문과대학,,,0
학문의기초,RUSS172,러시아어II,3,3,1,2,,,,,,문과대학,노어노문학과,노어노문학과,,,4
전공필수,RUSS201,중급러시아어I,3,3,2,1,러시아어소통역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공필수,RUSS202,중급러시아어II,3,3,2,2,러시아어소통역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공필수,RUSS373,고급러시아어I,3,3,3,1,러시아어소통역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공필수,RUSS374,고급러시아어II,3,3,3,2,러시아어소통역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공선택,RUSS205,러시아문학기행,3,3,2,1,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공선택,RUSS207,중급러시아어회화I,2,2,2,1,러시아어소통역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공선택,RUSS208,중급러시아어회화II,2,2,2,2,러시아어소통역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공선택,RUSS213,러시아어의구조,3,3,2,1,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공선택,RUSS215,러시아민담과민속,3,3,1,1,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,0
전공선택,RUSS216,러시아문학의전통과진화,3,3,2,2,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,2
전공선택,RUSS217,체호프,3,3,4,1,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,0
전공선택,RUSS218,러시아문학과영상예술I,3,3,3,1,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,4
전공선택,RUSS219,러시아문학과영상예술II,3,3,3,2,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,4
전공선택,RUSS255,러시아인문지리,3,3,2,1,러시아어권지역학도전역량,,,,,문과대학,노어노문학과,노어노문학과,,,2
전공선택,RUSS257,러시아정교와사상,3,3,2,2,러시아어권지역학도전역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공선택,RUSS258,러시아대중문화,3,3,2,2,러시아어권지역학도전역량,,,,,문과대학,노어노문학과,노어노문학과,,,4
전공선택,RUSS259,러시아역사세미나,3,3,2,1,러시아어권지역학도전역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공선택,RUSS260,러시아어번역연습,3,3,,,,,,,,문과대학,노어노문학과,노어노문학과,,전공역량안적힘,1
전공선택,RUSS325,근대러시아소설,3,3,2,1,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,1
전공선택,RUSS326,현대러시아소설,3,3,2,2,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,1
전공선택,RUSS327,러시아어와우리말,3,3,3,1,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,0
전공선택,RUSS333,비즈니스러시아어,3,3,4,1,러시아어소통역량,,,,,문과대학,노어노문학과,노어노문학과,,,1
전공선택,RUSS334,러시아드라마와공연예술,3,3,3,2,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공선택,RUSS335,러시아문학강독과번역,3,3,4,2,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,2
전공선택,RUSS362,디지털문화와러시아어,3,3,4,1,러시아어소통역량,,,,,문과대학,노어노문학과,노어노문학과,,,3
전공선택,RUSS363,고급러시아어회화I,2,2,3,1,러시아어소통역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공선택,RUSS364,고급러시아어회화II,2,2,3,2,러시아어소통역량,,,,,문과대학,노어노문학과,노어노문학과,,,4
전공선택,RUSS365,근대러시아문화와시,3,3,3,1,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,1
전공선택,RUSS366,현대러시아문화와시,3,3,3,2,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,4
전공선택,RUSS369,러시아사회의이해,3,3,3,1,러시아어권지역학도전역량,,,,,문과대학,노어노문학과,노어노문학과,,,5
전공선택,RUSS370,러시아문학사I,3,3,2,1,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,2
전공선택,RUSS371,러시아문학사II,3,3,2,2,노어노문학심화역량,,,,,문과대학,노어노문학과,노어노문학과,,,2
전공선택,RUSS377,러시아정치와국제관계,3,3,3,2,러시아어권지역학도전역량,,,,,문과대학,노어노문학과,노어노문학과,,,4
전공선택,RUSS378,러시아경제와국제통상,3,3,3,2,러시아어권지역학도전역량,,,,,문과대학,노어노문학과,노어노문학과,,,4
