구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,JAPN102,일본문화의이해,3,3,1,2,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,3
전공선택,JAPN200,일본고전문학의이해,3,3,2,2,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,3
전공선택,JAPN212,현대일본어문법,3,3,2,2,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN213,일본근현대문학의이해,3,3,2,1,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN215,일본언어문화의세계,3,3,2,1,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,5
전공선택,JAPN217,일본어학의이해I,3,3,2,1,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,5
전공선택,JAPN218,일본어학의이해II,3,3,2,2,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN233,일본역사의이해,3,3,2,1,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN235,일본전통극의이해,3,3,2,1,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN249,글로벌시대의일본학,3,3,2,1,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,3
전공선택,JAPN250,일본근현대문학사,3,3,2,2,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,5
전공선택,JAPN251,글로벌시대의지역경제와일본,3,3,2,1,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN254,일본회화의문화학,3,3,2,2,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN255,디지털과일본근현대문학·문화,3,3,2,1,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN256,현대일본의국제관계,3,3,2,2,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN257,일본소설의이해,3,3,2,1,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,3
전공선택,JAPN261,일본어LCI,2,3,2,1,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN262,일본어LCII,2,3,2,2,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN267,일본어회화I,2,3,2,1,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN268,일본어회화II,2,3,2,2,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN271,일본어RCI,2,3,2,1,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN272,일본어RCII,2,3,2,2,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN304,동아시아젠더론,3,3,3,2,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,1
전공선택,JAPN305,일본의정치세력:보수와혁신,3,3,3,1,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN306,일본직업과사회상,3,3,3,2,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,1
전공선택,JAPN307,일본풍토와건축공간,3,3,3,1,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,1
전공선택,JAPN308,역사자료로보는동아시아공동체,3,3,3,2,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN309,일본미디어와문화콘텐츠,3,3,3,1,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN310,일본군사와안전보장,3,3,3,2,"국제적소양,창의적문제해결",,,,,문과대학,일어일문학과,일어일문학과,,,5
전공선택,JAPN311,한일어대조연구,3,3,3,1,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN313,일본어고전문법,3,3,3,1,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,5
전공선택,JAPN316,매스미디어일본어,3,3,3,2,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN319,테스트일본어,3,3,3,1,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,4
전공선택,JAPN324,일본문학과미디어,3,3,3,2,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN329,일본근현대문학과번역,3,3,3,1,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,5
전공선택,JAPN331,일본근현대문학과영상문화,3,3,3,1,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN333,일본고전문학사,3,3,3,1,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,3
전공선택,JAPN339,일본고전명작선독,3,3,3,1,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN341,일본어담화분석론,3,3,3,1,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN349,일본사회와언어,3,3,3,1,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,5
전공선택,JAPN350,일본어구문론,3,3,3,2,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN351,일본근현대명작선독I,3,3,3,1,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN352,일본근현대명작선독II,3,3,3,2,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,2
전공선택,JAPN354,일본고전문학과문화컨텐츠,3,3,3,1,"문학적소양,융합적사고능력",,,,,문과대학,일어일문학과,일어일문학과,,,0
전공선택,JAPN361,트랜스아시아한일이문화커뮤니케이션,3,3,3,2,"언어적소양,공감･소통",,,,,문과대학,일어일문학과,일어일문학과,,,1
