구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,SPAN201,시청각스페인어I,2,3,2,1,외국어구사능력,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN202,시청각스페인어II,2,3,2,2,외국어구사능력,,,,,문과대학,서어서문학과,서어서문학과,,,2
전공선택,SPAN211,중급스페인어연습I,2,3,2,1,외국어구사능력,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN212,중급스페인어연습II,2,3,2,2,외국어구사능력,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN213,스페인어산문강독,2,3,2,1,외국어구사능력,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN216,고급스페인어회화,2,3,3,1,외국어구사능력,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN218,라틴아메리카단편소설강독,3,3,2,1,외국어구사능력,,,,,문과대학,서어서문학과,서어서문학과,,,3
전공선택,SPAN220,라틴아메리카사회와영화,3,3,2,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,1
전공선택,SPAN301,스페인어학개론,3,3,3,1,디지털기술활용,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN302,스페인어사,3,3,3,2,종합적사고,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN303,스페인어어원및계통론,3,3,3,1,종합적사고,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN312,스페인문화사,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,3
전공선택,SPAN313,서중남미지역학I,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN314,서중남미지역학II,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN315,라틴아메리카문화사,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN321,서문학사,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,3
전공선택,SPAN323,스페인시,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN326,라틴아메리카문학사,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN327,스페인소설,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN328,라틴아메리카시,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN329,라틴아메리카소설,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN332,스페인황금세기문학,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN336,스페인사회와영화,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN337,라틴아메리카식민지시대연구,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,3
전공선택,SPAN338,스페인·라틴아메리카정치와사회변동,3,3,3,2,종합적사고,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN339,스페인·라틴아메리카경제와사회발전,3,3,3,1,종합적사고,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN343,"스페인어,텍스트그리고기술",3,3,3,2,디지털기술활용,,,,,문과대학,서어서문학과,서어서문학과,,,1
전공선택,SPAN351,스페인어번역및통역,3,3,3,1,외국어구사능력,,,,,문과대학,서어서문학과,서어서문학과,,,3
전공선택,SPAN352,스페인어교수법,3,3,3,2,외국어구사능력,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN353,스페인어방언학,3,3,3,1,종합적사고,,,,,문과대학,서어서문학과,서어서문학과,,,1
전공선택,SPAN356,스페인어권사회의이해,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN357,스페인어구조의이해,3,3,3,1,디지털기술활용,,,,,문과대학,서어서문학과,서어서문학과,,,2
전공선택,SPAN361,스페인희곡,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN364,스페인문학비평,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN366,스페인작가론,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN369,라틴아메리카작가론,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN371,스페인중세문학,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN373,라틴아메리카사상사,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,3
전공선택,SPAN375,돈키호테론,3,3,3,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN376,스페인근현대문학,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN384,스페인에세이,3,3,3,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN386,스페인어음성음운론,3,3,3,2,디지털기술활용,,,,,문과대학,서어서문학과,서어서문학과,,,3
전공선택,SPAN401,사회언어학,3,3,4,1,디지털기술활용,,,,,문과대학,서어서문학과,서어서문학과,,,2
전공선택,SPAN411,스페인문학과신화,3,3,4,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,3
전공선택,SPAN415,라틴아메리카페미니즘연구,3,3,4,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN417,보르헤스와포스트모더니즘,3,3,4,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN424,라틴아메리카문학이론연구,3,3,4,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,5
전공선택,SPAN455,라틴아메리카조사방법론,3,3,4,1,디지털기술활용,,,,,문과대학,서어서문학과,서어서문학과,,,2
전공선택,SPAN457,라틴아메리카데이터과학의이해,3,3,4,1,디지털기술활용,,,,,문과대학,서어서문학과,서어서문학과,,,1
전공선택,SPAN458,스페인어자연어및음성데이터처리,3,3,4,2,디지털기술활용,,,,,문과대학,서어서문학과,서어서문학과,,,0
전공선택,SPAN474,라틴아메리카문화이론연구,3,3,4,2,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,1
전공선택,SPAN475,스페인어통사의미화용론,3,3,4,1,종합적사고,,,,,문과대학,서어서문학과,서어서문학과,,,3
전공선택,SPAN479,라틴아메리카인디오세계연구,3,3,4,1,인문학적소양,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공선택,SPAN480 ,라틴아메리카개발협력,3,3,4,2,종합적사고,,,,,문과대학,서어서문학과,서어서문학과,,,0
전공선택,SPAN481,라틴아메리카국제관계,3,3,4,1,종합적사고,,,,,문과대학,서어서문학과,서어서문학과,,,3
학문의기초,SPAN171,스페인어I,3,3,1,1,,,,,,문과대학,서어서문학과,서어서문학과,,,4
학문의기초,COLA173,디지털인문학응용,3,3,1,,,,,,,문과대학,서어서문학과,문과대학,,,0
학문의기초,SPAN172,스페인어II,3,3,1,2,,,,,,문과대학,서어서문학과,서어서문학과,,,4
전공인정,COLA200,인문융합세미나,3,3,1,,,,,,,문과대학,서어서문학과,문과대학,,,0
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,문과대학,서어서문학과,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,문과대학,서어서문학과,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,문과대학,서어서문학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,문과대학,서어서문학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,문과대학,서어서문학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,문과대학,서어서문학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,3,3,1,2,,,,,,문과대학,서어서문학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,3,3,1,,,,,,,문과대학,서어서문학과,,,,1
교양선택,"CHIN103	",교양중국어I,3,5,,,,,,,,문과대학,서어서문학과,중어중문학과,,,0
교양선택,CHIN104,교양중국어II,3,5,,,,,,,,문과대학,서어서문학과,중어중문학과,,,4
교양선택,FRAN141,교양프랑스어I,3,5,,,,,,,,문과대학,서어서문학과,불어불문학과,,,4
교양선택,FRAN142,교양프랑스어II,3,5,,,,,,,,문과대학,서어서문학과,불어불문학과,,,4
교양선택,GERM161,교양독일어I,3,5,,,,,,,,문과대학,서어서문학과,독어독문학과,,,4
교양선택,GERM162,교양독일어II,3,5,,,,,,,,문과대학,서어서문학과,독어독문학과,,,4
교양선택,HANM141,초급한문,3,3,,,,,,,,문과대학,서어서문학과,한문학과,,,5
교양선택,JAPN113,교양일본어I,3,5,,,,,,,,문과대학,서어서문학과,일어일문학과,,,4
교양선택,JAPN114,교양일본어II,3,5,,,,,,,,문과대학,서어서문학과,일어일문학과,,,4
교양선택,RUSS131,교양러시아어I,3,5,,,,,,,,문과대학,서어서문학과,노어노문학과,,,4
