구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,LING003,무제강좌,3,3,2,1,통합능력,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING201,일반언어학,3,3,2,1,통합능력,,,,,문과대학,언어학과,언어학과,,,5
전공선택,LING202,음성학,3,3,2,2,전문성 ,,,,,문과대학,언어학과,언어학과,,,5
전공선택,LING212,의미론,3,3,2,2,의사소통,,,,,문과대학,언어학과,언어학과,,,5
전공선택,LING221,기호학,3,3,2,1,전문성 ,,,,,문과대학,언어학과,언어학과,,,4
전공선택,LING222,세계의언어,3,3,2,2,전문성 ,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING251,언어와첨단과학,3,3,2,1,통합능력,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING262,언어와통계,3,3,1,2,통합능력,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING301,음운론,3,3,3,1,통합능력,,,,,문과대학,언어학과,언어학과,,,5
전공선택,LING303,언어학사,3,3,3,1,다문화포용,,,,,문과대학,언어학과,언어학과,,,3
전공선택,LING304,언어자료와컴퓨터,3,3,3,2,문제해결,,,,,문과대학,언어학과,언어학과,,,5
전공선택,LING311,통사론,3,3,3,1,문제해결,,,,,문과대학,언어학과,언어학과,,,4
전공선택,LING313,언어와논리,3,3,3,1,통합능력,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING321,화용론,3,3,3,1,의사소통,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING322,형태론,3,3,3,2,문제해결,,,,,문과대학,언어학과,언어학과,,,2
전공선택,LING332,담화분석,3,3,3,2,의사소통,,,,,문과대학,언어학과,언어학과,,,2
전공선택,LING333,인지언어학,3,3,3,1,통합능력,,,,,문과대학,언어학과,언어학과,,,3
전공선택,LING342,언어유형론,3,3,3,2,통합능력,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING372,시각기호학,3,3,3,2,전문성 ,,,,,문과대학,언어학과,언어학과,,,4
전공선택,LING375,문자학,3,3,3,1,통합능력,,,,,문과대학,언어학과,언어학과,,,3
전공선택,LING382,언어병리학,3,3,3,2,통합능력,,,,,문과대학,언어학과,언어학과,,,4
전공선택,LING383,디자인기호학의이해,3,3,3,1,창의력,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING402,역사비교언어학,3,3,4,2,통합능력,,,,,문과대학,언어학과,언어학과,,,4
전공선택,LING403,언어학이론응용,3,3,4,1,창의력,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING405,언어와컴퓨터I,3,3,3,2,문제해결,,,,,문과대학,언어학과,언어학과,,,3
전공선택,LING406,언어와컴퓨터II,3,3,4,2,문제해결,,,,,문과대학,언어학과,언어학과,,,2
전공선택,LING412,개별언어II,3,3,4,2,의사소통,,,,,문과대학,언어학과,언어학과,,,4
전공선택,LING414,언어와인공지능,3,3,4,1,창의력,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING421,언어와미디어,3,3,4,2,전문성 ,,,,,문과대학,언어학과,언어학과,,,5
전공선택,LING422,생성문법,3,3,4,2,통합능력,,,,,문과대학,언어학과,언어학과,,,2
전공선택,LING424,법언어학,3,3,4,2,통합능력,,,,,문과대학,언어학과,언어학과,,,2
전공선택,LING425,언어학과문학,3,3,4,2,통합능력,,,,,문과대학,언어학과,언어학과,,,1
전공선택,LING431,개별언어I,3,3,4,1,의사소통,,,,,문과대학,언어학과,언어학과,,,3
전공선택,LING453,언어학연습I,3,3,4,1,창의력,,,,,문과대학,언어학과,언어학과,,,0
전공선택,LING454,언어학강독II,3,3,4,2,통합능력,,,,,문과대학,언어학과,언어학과,,,2
