구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,생명과학대학,생명과학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,생명과학대학,생명과학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,생명과학대학,생명과학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,생명과학대학,생명과학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,생명과학대학,생명과학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,생명과학대학,생명과학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,생명과학대학,생명과학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,생명과학대학,생명과학부,,,,1
교양선택,LIBS151,일반생물학및연습 I,1,1.0,,,,,3,3,,생명과학대학,생명과학부,생명과학부,,,5
교양선택,LIBS152,일반생물학및연습 II,1,2.0,,,,,3,3,,생명과학대학,생명과학부,생명과학부,,,5
교양선택,LIBS153,일반생물학실험 I,1,1.0,,,Y,,1,3,,생명과학대학,생명과학부,생명과학부,,,5
교양선택,LIBS154,일반생물학실험 II,1,2.0,,,Y,,1,3,,생명과학대학,생명과학부,생명과학부,,,5
교양선택,LIET151,화학의기초및연습 I,1,1.0,,,,,3,3,,생명과학대학,생명과학부,환경생태공학부,,,5
교양선택,LIET152,화학의기초및연습 II,1,2.0,,,,,3,3,,생명과학대학,생명과학부,환경생태공학부,,,5
교양선택,LIET155,화학의기초실험 I,1,1.0,,,Y,,1,3,,생명과학대학,생명과학부,환경생태공학부,,,5
교양선택,LIET156,화학의기초실험 II,1,2.0,,,Y,,1,3,,생명과학대학,생명과학부,환경생태공학부,,,5
교양선택,LIET153,생물통계학,2,1.0,,,,,3,3,,생명과학대학,생명과학부,환경생태공학부,,,5
교양선택,MATH161,미적분학및연습 I,1,2.0,,,,,3,4,,생명과학대학,생명과학부,수학과,,,5
교양선택,PHYS183,생명물리학및연습,1,1.0,,,,,3,3,,생명과학대학,생명과학부,물리학과,,,5
교양선택,PHYS161,일반물리학 실험 I,1,1.0,,,Y,,1,3,,생명과학대학,생명과학부,물리학과,,,5
전공필수,LIST201,세포생물학 I,2,1.0,,,,,3,3,소통 및 협업,생명과학대학,생명과학부,생명과학대학,,,5
전공필수,LIST202,세포생물학 II,2,2.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학대학,,,5
전공필수,LIST203,미생물학 I,2,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학대학,,,5
전공필수,LIST204,미생물학 II,2,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학대학,,,5
전공필수,LIST301,분자생물학 I,3,1.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학대학,,,5
전공필수,LIST302,분자생물학 II,3,2.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학대학,,,5
전공필수,LIST303,유전학 I,3,1.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학대학,,,5
전공필수,LIST304,유전학 II,3,2.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학대학,,,4
전공필수,LIST305,생화학 I,3,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학대학,,,5
전공필수,LIST306,생화학 II,3,2.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학대학,,,5
전공필수,LIBT271,유기화학 I,2,1.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명공학부,,,5
전공필수,LIBT272,유기화학 II,2,2.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명공학부,,,5
전공필수,LIBS212,생명과학실험I(미생물학),2,2.0,,,Y,,2,4,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,5
전공필수,LIBS213,생명과학실험II(계통분류학),2,1.0,,,Y,,2,4,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,5
전공필수,LIBS214,생명과학실험III(세포분자생물학),2,2.0,,,Y,,2,4,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,4
전공필수,LIBS312,생명과학실험IV(생화학),3,2.0,,,Y,,2,4,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,1
전공필수,LIBS313,생명과학실험V(면역학),3,1.0,,,Y,,2,4,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,5
전공필수,LIBS314,생명과학실험VI(유전학),3,2.0,,,Y,,2,4,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,4
전공필수,LIBS315,생명과학실험VII(신경생물학),3,2.0,,,Y,,2,4,생명과학기초지식 함양|창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,5
전공필수,LIBS407,생명과학실험지도I,4,1.0,,,Y,,3,6,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,5
전공필수,LIBS408,생명과학실험지도II,4,2.0,,,Y,,3,6,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS215,식물계통분류학,2,1.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,4
전공선택,LIBS217,동물계통분류학,2,1.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,0
전공선택,LIBS284,생명과학과법,2,2.0,,,,,3,3,생명산업 리더 능력 함양,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS311,인체분자유전학,3,1.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,4
전공선택,LIBS316,식물분자생물학,3,2.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,2
전공선택,LIBS357,생리학I,3,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS358,생리학II,3,2.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,1
전공선택,LIBS364,구조생물학,3,2.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS400,생명과학최신동향세미나,4,1.0,,,,,1,1,근로벌 선도,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS401,오믹스시대의 팬데믹,4,1.0,,,,,3,3,실험수행 및 분석,생명과학대학,생명과학부,생명과학부,,,1
전공선택,LIBS403,인체대사학I,4,1.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,4
전공선택,LIBS404,인체대사학II,4,2.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,2
전공선택,LIBS441,신경생물학,4,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS442,시스템신경과학,4,2.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS443,면역학I,4,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS444,면역학II,4,2.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS449,응용면역학,4,2.0,,,,,3,3,생명산업 리더 능력 함양,생명과학대학,생명과학부,생명과학부,,,3
전공선택,LIBS450,진화생물학,4,2.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS453,식물생명과학,4,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,2
전공선택,LIBS457,생물정보학,4,2.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,4
전공선택,LIBS461,단백질생화학,4,1.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,0
전공선택,LIBS462,바이러스학,4,2.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS464,곤충학,4,2.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,3
전공선택,LIBS466,생물안정성학,4,2.0,,,,,3,3,생명산업 리더 능력 함양,생명과학대학,생명과학부,생명과학부,,,1
전공선택,LIBS474,세포진호전달학,4,2.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS478,염증생물학,4,2.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,4
전공선택,LIBS482,분석생명과학,4,2.0,,,,,3,3,창의적 문제해결,생명과학대학,생명과학부,생명과학부,,,5
전공선택,LIBS483,나노생명과학의이해,4,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,4
전공선택,LIBS481,식물발달분자생리학I,4,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,0
전공선택,LIBS488,식물발달분자생리학II,4,2.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학부,,,3
전공선택,LIST307,기능유전체학,3,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학대학,,,5
전공선택,LIST401,암생물학,4,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,생명과학대학,,,5
전공선택,LIET201,생태학,2,1.0,,,,,3,3,생명과학기초지식 함양,생명과학대학,생명과학부,환경생태공학부,,,5
교직,LIBS393,생물교과교육론,3,,,,,,3,3,,생명과학대학,생명과학부,생명과학부,,,5
교직,SCED303,과학교과논리및논술,3,,,,,,2,2,,생명과학대학,생명과학부,이과대학,,,5
교직,LIBS394,생물교과교재연구및지도법,3,,,,,,3,3,,생명과학대학,생명과학부,생명과학부,,,5
