구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,생명과학대학,생명공학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,생명과학대학,생명공학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,생명과학대학,생명공학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,생명과학대학,생명공학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,생명과학대학,생명공학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,생명과학대학,생명공학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,생명과학대학,생명공학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,생명과학대학,생명공학부,,,,1
교양선택,LIBS151,일반생물학및연습 I,1,1.0,,,,,3,3,통합적사고|지적탐색|전문가적사고|창의적사고|실증/정량적분석|문제해결,생명과학대학,생명공학부,생명과학부,,,5
교양선택,LIBS152,일반생물학및연습 II,1,2.0,,,,,3,3,통합적사고|지적탐색|전문가적사고|창의적사고|실증/정량적분석|문제해결,생명과학대학,생명공학부,생명과학부,,,5
교양선택,LIBS153,일반생물학실험 I,1,1.0,,,Y,,1,3,통합적사고|지적탐색|전문가적사고|창의적사고|실증/정량적분석|문제해결,생명과학대학,생명공학부,생명과학부,,,5
교양선택,LIBS154,일반생물학실험 II,1,2.0,,,Y,,1,3,통합적사고|지적탐색|전문가적사고|창의적사고|실증/정량적분석|문제해결,생명과학대학,생명공학부,생명과학부,,,5
교양선택,LIET151,화학의기초및연습 I,1,1.0,,,,,3,3,통합적사고|지적탐색|전문가적사고|창의적사고|실증/정량적분석|문제해결,생명과학대학,생명공학부,환경생태공학부,,,5
교양선택,LIET152,화학의기초및연습 II,1,2.0,,,,,3,3,통합적사고|지적탐색|전문가적사고|창의적사고|실증/정량적분석|문제해결,생명과학대학,생명공학부,환경생태공학부,,,5
교양선택,LIET155,화학의기초실험 I,1,1.0,,,Y,,1,3,통합적사고|지적탐색|전문가적사고|창의적사고|실증/정량적분석|문제해결,생명과학대학,생명공학부,환경생태공학부,,,5
교양선택,LIET156,화학의기초실험 II,1,2.0,,,Y,,1,3,통합적사고|지적탐색|전문가적사고|창의적사고|실증/정량적분석|문제해결,생명과학대학,생명공학부,환경생태공학부,,,5
교양선택,LIET153,생물통계학,2,1.0,,,,,3,3,,생명과학대학,생명공학부,환경생태공학부,,,5
교양선택,MATH161,미적분학및연습 I,1,2.0,,,,,3,4,,생명과학대학,생명공학부,수학과,,,5
교양선택,PHYS183,생명물리학및연습,1,1.0,,,,,3,3,,생명과학대학,생명공학부,물리학과,,,5
교양선택,PHYS161,일반물리학 실험 I,1,1.0,,,Y,,1,3,,생명과학대학,생명공학부,물리학과,,,5
전공선택,LIBT201,생명공학개론,2,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,2
전공선택,LIBT202,실험계획의원리와응용,2,2.0,,,,,3,3,통합적사고,생명과학대학,생명공학부,생명공학부,,,2
전공선택,LIBT210,생명공학기초 및 실험,2,2.0,,,Y,,3,4,전문가적사고,생명과학대학,생명공학부,생명공학부,,,2
전공선택,LIBT215,동물생리학,2,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,4
전공선택,LIBT217,동물분자유전학,2,1.0,,,,,3,3,통합적사고,생명과학대학,생명공학부,생명공학부,,,3
전공선택,LIBT223,해부조직학,2,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,1
전공선택,LIBT240,식물번식공학,2,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,4
전공선택,LIBT243,식물생리학,2,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT245,식물생명공학,2,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,1
전공선택,LIBT247,식물병리학,2,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,4
전공선택,LIBT256,식물의학개론,2,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,4
전공선택,LIBT271,유기화학Ⅰ,2,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT272,유기화학Ⅱ,2,2.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT274,효소학,2,2.0,,,,,3,3,창의적사고,생명과학대학,생명공학부,생명공학부,,,4
전공선택,LIBT276,미생물생리학,2,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,2
전공선택,LIBT307,발생공학,3,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT308,질병미생물학,3,2.0,,,,,3,3,통합적사고,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT311,세포및조직공학,3,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT325,대사조절학,3,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,1
전공선택,LIBT327,면역공학,3,1.0,,,,,3,3,통합적사고,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT328,분자진단기술 및 실험,3,2.0,,,Y,,3,4,실증/정량적분석,생명과학대학,생명공학부,생명공학부,,,1
전공선택,LIBT330,유전자공학및실험,3,2.0,,,Y,,3,5,창의적사고,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT332,동물분자육종학,3,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,1
전공선택,LIBT338,식물조직배양공학,3,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT344,식물분자육종학,3,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,2
전공선택,LIBT354,채소및허브학,3,2.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,3
전공선택,LIBT359,천연물공학,3,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT360,식물이차대사조절학,3,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,2
전공선택,LIBT361,식물진균학,3,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,1
전공선택,LIBT366,기기분석학및실험,3,2.0,,,,,3,5,전문가적사고,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT367,식물공장학,3,1.0,,,,,3,3,문제해결,생명과학대학,생명공학부,생명공학부,,,4
전공선택,LIBT368,식물병제어학,3,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,4
전공선택,LIBT369,식물세균학및실험,3,1.0,,,Y,,3,5,전문가적사고,생명과학대학,생명공학부,생명공학부,,,4
전공선택,LIBT371,미생물생명공학Ⅰ,3,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT373,분자생명공학 및 실험,3,1.0,,,Y,,3,4,실증/정량적분석,생명과학대학,생명공학부,생명공학부,,,1
전공선택,LIBT379,인체대사생리학,3,1.0,,,,,3,3,통합적사고,생명과학대학,생명공학부,생명공학부,,,1
전공선택,LIBT377,합성생물학,3,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,4
전공선택,LIBT381,생물물리학,3,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,1
전공선택,LIBT389,극지생명공학,3,1.0,,,,,3,3,실증/정량적분석,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT391,분자바이러스생명공학,3,1.0,,,,,3,3,지적탐색,생명과학대학,생명공학부,생명공학부,,,2
전공선택,LIBT414,내분비학,4,2.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,2
전공선택,LIBT415,생식의학,4,1.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,3
전공선택,LIBT416,줄기세포공학,4,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT417,유전자치료공학,3,2.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,2
전공선택,LIBT436,생명정보공학,4,,,,,,3,3,,생명과학대학,생명공학부,생명공학부,,,5
전공선택,LIBT438,리보핵산공학,4,2.0,,,,,3,3,전문가적사고,생명과학대학,생명공학부,생명공학부,,,5
