구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,생명과학대학,식품공학과,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,생명과학대학,식품공학과,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,생명과학대학,식품공학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,생명과학대학,식품공학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,생명과학대학,식품공학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,생명과학대학,식품공학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,생명과학대학,식품공학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,생명과학대학,식품공학과,,,,1
교양선택,LIBS151,일반생물학및연습 I,1,1.0,,,,,3,3,,생명과학대학,식품공학과,생명과학부,,,5
교양선택,LIBS152,일반생물학및연습 II,1,2.0,,,,,3,3,,생명과학대학,식품공학과,생명과학부,,,5
교양선택,LIBS153,일반생물학실험 I,1,1.0,,,Y,,1,3,,생명과학대학,식품공학과,생명과학부,,,5
교양선택,LIBS154,일반생물학실험 II,1,2.0,,,Y,,1,3,,생명과학대학,식품공학과,생명과학부,,,5
교양선택,LIET151,화학의기초및연습 I,1,1.0,,,,,3,3,,생명과학대학,식품공학과,환경생태공학부,,,5
교양선택,LIET152,화학의기초및연습 II,1,2.0,,,,,3,3,,생명과학대학,식품공학과,환경생태공학부,,,5
교양선택,LIET155,화학의기초실험 I,1,1.0,,,Y,,1,3,,생명과학대학,식품공학과,환경생태공학부,,,5
교양선택,LIET156,화학의기초실험 II,1,2.0,,,Y,,1,3,,생명과학대학,식품공학과,환경생태공학부,,,5
교양선택,LIET153,생물통계학,2,1.0,,,,,3,3,,생명과학대학,식품공학과,환경생태공학부,,,5
교양선택,MATH161,미적분학및연습 I,1,2.0,,,,,3,4,,생명과학대학,식품공학과,수학과,,,5
교양선택,PHYS183,생명물리학및연습,1,1.0,,,,,3,3,,생명과학대학,식품공학과,물리학과,,,5
교양선택,PHYS161,일반물리학 실험 I,1,1.0,,,Y,,1,3,,생명과학대학,식품공학과,물리학과,,,5
전공선택,LIFS217,식품과학기초,2,1.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,4
전공선택,LIFS219,식품미생물학I,2,1.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS221,식품물리화학,2,1.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,4
전공선택,LIFS223,식품화학I,3,1.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS252,식품미생물학Ⅱ,2,2.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,4
전공선택,LIFS256,발효식품학,2,2.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,4
전공선택,LIFS320,육가공학,3,2.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,2
전공선택,LIFS321,근육식품학,3,1.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,3
전공선택,LIFS323,식품분석학,3,1.0,,,,,3,3,문제해결,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS324,식품생물공학,3,2.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,2
전공선택,LIFS325,식품위생학,3,1.0,,,,,3,3,통합적사고,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS326,식품안전성,3,2.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,1
전공선택,LIFS327,식품법규,3,1.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,2
전공선택,LIFS328,식품위해요소중점관리학,3,2.0,,,,,3,3,창의적사고,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS329,식품생화학I,2,1.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,4
전공선택,LIFS330,식품생화학II,2,2.0,,,,,3,3,통합적사고,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS331,유가공학,3,1.0,,,,,3,3,전문가적사고,생명과학대학,식품공학과,식품공학과,,,4
전공선택,LIFS333,식품공학및가공학실험I,3,1.0,,,Y,,2,4,전문가적사고,생명과학대학,식품공학과,식품공학과,,,4
전공선택,LIFS334,식품공학및가공학실험II,3,2.0,,,Y,,2,4,자기실현,생명과학대학,식품공학과,식품공학과,,,2
전공선택,LIFS337,식품공학I,3,1.0,,,,,3,3,통합적사고,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS338,식품공학II,3,2.0,,,,,3,3,문제해결,생명과학대학,식품공학과,식품공학과,,,4
전공선택,LIFS339,식품위생학실험,3,1.0,,,Y,,2,4,통합적사고,생명과학대학,식품공학과,식품공학과,,,4
전공선택,LIFS340,식품미생물학실험,2,2.0,,,Y,,2,4,통합적사고,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS341,식품분석학실험,3,2.0,,,Y,,2,4,문제해결,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS343,식품생화학실험,3,1.0,,,Y,,2,4,통합적사고,생명과학대학,식품공학과,식품공학과,,,2
전공선택,LIFS354,곡류과학,3,2.0,,,,,3,3,창의적사고,생명과학대학,식품공학과,식품공학과,,,4
전공선택,LIFS364,식품화학Ⅱ,3,2.0,,,,,3,3,통합적사고,생명과학대학,식품공학과,식품공학과,,,2
전공선택,LIFS366,식중독세균학,3,2.0,,,,,3,3,통합적사고,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS402,건강기능식품학,4,2.0,,,,,3,3,문제해결,생명과학대학,식품공학과,식품공학과,,,2
전공선택,LIFS404,발효산업미생물학,4,2.0,,,,,3,3,창의적사고,생명과학대학,식품공학과,식품공학과,,,3
전공선택,LIFS405,식품저장학,4,1.0,,,,,3,3,통합적사고,생명과학대학,식품공학과,식품공학과,,,2
전공선택,LIFS457,과실채소류과학,4,1.0,,,,,3,3,창의적사고,생명과학대학,식품공학과,식품공학과,,,3
전공선택,LIFS464,식품포장공학,4,2.0,,,,,3,3,통합적사고,생명과학대학,식품공학과,식품공학과,,,2
전공선택,LIFS466,식품독성학,4,2.0,,,,,3,3,통합적사고,생명과학대학,식품공학과,식품공학과,,,5
전공선택,LIFS475,식품성분및재료학,4,1.0,,,,,3,3,창의적사고,생명과학대학,식품공학과,식품공학과,,,1
전공인정,LIBT271,유기화학 I,2,1.0,,,,,3,3,,생명과학대학,식품공학과,생명공학부,,,5
전공인정,LIBT272,유기화학 II,2,2.0,,,,,3,3,,생명과학대학,식품공학과,생명공학부,,,5
