구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,생명과학대학,환경생태공학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,생명과학대학,환경생태공학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,생명과학대학,환경생태공학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,생명과학대학,환경생태공학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,생명과학대학,환경생태공학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,생명과학대학,환경생태공학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,생명과학대학,환경생태공학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,생명과학대학,환경생태공학부,,,,1
교양선택,LIBS151,일반생물학및연습 I,1,1.0,,,,,3,3,,생명과학대학,환경생태공학부,생명과학부,,,5
교양선택,LIBS152,일반생물학및연습 II,1,2.0,,,,,3,3,,생명과학대학,환경생태공학부,생명과학부,,,5
교양선택,LIBS153,일반생물학실험 I,1,1.0,,,Y,,1,3,,생명과학대학,환경생태공학부,생명과학부,,,5
교양선택,LIBS154,일반생물학실험 II,1,2.0,,,Y,,1,3,,생명과학대학,환경생태공학부,생명과학부,,,5
교양선택,LIET151,화학의기초및연습 I,1,1.0,,,,,3,3,,생명과학대학,환경생태공학부,환경생태공학부,,,5
교양선택,LIET152,화학의기초및연습 II,1,2.0,,,,,3,3,,생명과학대학,환경생태공학부,환경생태공학부,,,5
교양선택,LIET155,화학의기초실험 I,1,1.0,,,Y,,1,3,,생명과학대학,환경생태공학부,환경생태공학부,,,5
교양선택,LIET156,화학의기초실험 II,1,2.0,,,Y,,1,3,,생명과학대학,환경생태공학부,환경생태공학부,,,5
교양선택,LIET153,생물통계학,2,1.0,,,,,3,3,,생명과학대학,환경생태공학부,환경생태공학부,,,5
교양선택,MATH161,미적분학및연습 I,1,2.0,,,,,3,4,,생명과학대학,환경생태공학부,수학과,,,5
교양선택,PHYS183,생명물리학및연습,1,1.0,,,,,3,3,,생명과학대학,환경생태공학부,물리학과,,,5
교양선택,PHYS161,일반물리학 실험 I,1,1.0,,,Y,,1,3,,생명과학대학,환경생태공학부,물리학과,,,5
전공필수,LIET201,생태학,2,1.0,,,,,3,3,융합적 사고,생명과학대학,환경생태공학부,환경생태공학부,,,5
전공필수,LIET206,물환경학,2,2.0,,,,,3,3,융합적사고,생명과학대학,환경생태공학부,환경생태공학부,,,5
전공필수,LIET219,환경조경학,2,1.0,,,,,3,3,융합적 사고,생명과학대학,환경생태공학부,환경생태공학부,,,5
전공필수,LIET222,환경화학,2,2.0,,,,,3,3,창의적 문제해결,생명과학대학,환경생태공학부,환경생태공학부,,,5
전공필수,LIET225,환경미생물학,2,1.0,,,,,3,3,융합적 사고,생명과학대학,환경생태공학부,환경생태공학부,,,4
전공필수,LIET227,환경과학,2,1.0,,,,,3,3,융합적 사고,생명과학대학,환경생태공학부,환경생태공학부,,,4
전공필수,LIET229,환경토양학및실험,2,1.0,,,Y,,3,4,융합적 사고,생명과학대학,환경생태공학부,환경생태공학부,,,5
