구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,생명과학대학,식품자원경제학과,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,생명과학대학,식품자원경제학과,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,생명과학대학,식품자원경제학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,생명과학대학,식품자원경제학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,생명과학대학,식품자원경제학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,생명과학대학,식품자원경제학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,생명과학대학,식품자원경제학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,생명과학대학,식품자원경제학과,,,,1
학문의기초,LESE151,식품자원경제학개론,1,1.0,,,,,3,3,[창의·융합] 통합적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
학문의기초,LESE153,시장과경제,1,1.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
학문의기초,LESE154,세계화와국가경제,1,2.0,,,,,3,3,[공감·소통] 다문화포용,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공필수,LESE152,경제통계학,1,2.0,,,,,3,3,[창의·융합] 통합적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공필수,LESE155,응용경제수학,2,1.0,,,,,3,3,[창의·융합] 통합적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공선택,LESE205,공공경제학,2,1.0,,,,,3,3,[창의·융합] 통합적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,3
전공선택,LESE207,응용계량경제학,2,1.0,,,,,3,3,[창의·융합] 창의적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공선택,LESE209,미시경제분석,2,1.0,,,,,3,3,[창의·융합] 창의적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공선택,LESE210,식품마케팅,2,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,4
전공선택,LESE212,응용후생경제학,2,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,3
전공선택,LESE216,거시경제분석,2,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공선택,LESE218,식품산업조직론,2,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,4
전공선택,LESE221,보건경제학원론,2,1.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,3
전공선택,LESE302,환경경제학,3,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공선택,LESE304,자원환경정책,3,2.0,,,,,3,3,[창의·융합] 통합적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공선택,LESE306,식품산업재무관리,3,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,1
전공선택,LESE307,애그리비지니스세미나,3,1.0,,,,,3,3,[창의·융합] 통합적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,1
전공선택,LESE308,상품선물및옵션거래,3,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,2
전공선택,LESE309,국제식품정책론,3,1.0,,,,,3,3,[창의·융합] 사회공헌,생명과학대학,식품자원경제학과,식품자원경제학과,,,2
전공선택,LESE312,자원가치평가론,3,2.0,,,,,3,3,[창의·융합] 문제해결,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공선택,LESE313,불확실성과경제행위,3,1.0,,,,,3,3,[창의·융합] 통합적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,3
전공선택,LESE314,국제농산물무역론,3,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,4
전공선택,LESE317,식품소비자경제학,3,1.0,,,,,3,3,[창의·융합] 통합적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,4
전공선택,LESE319,응용재무경제학,3,1.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공선택,LESE321,에너지경제론,3,1.0,,,,,3,3,[창의·융합] 문제해결,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공선택,LESE322,노년경제학,3,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,1
전공선택,LESE324,바이오산업시장론,3,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,3
전공선택,LESE326,식품안전경제학,3,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,4
전공선택,LESE328,국제농업개발협력론,3,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
전공선택,LESE406,국제통상협상론,4,2.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,4
전공선택,LESE407,부동산경제론,4,1.0,,,,,3,3,[창의·융합] 문제해결,생명과학대학,식품자원경제학과,식품자원경제학과,,,4
전공선택,LESE408,계량분석론,4,2.0,,,,,3,3,[창의·융합] 창의적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,3
전공선택,LESE410,기술경제학,4,2.0,,,,,3,3,[창의·융합] 통합적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,4
전공선택,LESE411,응용경제세미나,4,1.0,,,,,3,3,[창의·융합] 문제해결,생명과학대학,식품자원경제학과,식품자원경제학과,,,2
전공선택,LESE412,농식품가격분석론,4,2.0,,,,,3,3,[창의·융합] 창의적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,1
전공선택,LESE413,법경제학,4,1.0,,,,,3,3,[전문·실용] 전문가적사고,생명과학대학,식품자원경제학과,식품자원경제학과,,,5
