구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공필수,POLI214,서양근대정치사상,3,3,2.0,2.0,통합적사고,,,,,정경대학,정치외교학과,정치외교학과,,,5
전공필수,POLI231,국제정치론,3,3,2.0,1.0,전문가적사고,,,,,정경대학,정치외교학과,정치외교학과,,,5
전공필수,POLI215,정치학전공입문,3,3,1.0,1.0,통합적사고,,,,,정경대학,정치외교학과,정치외교학과,,,4
전공필수,POLI234,비교정치개설,3,3,2.0,2.0,전문가적사고,,,,,정경대학,정치외교학과,정치외교학과,,,5
전공필수,POLI373,한국정치론,3,3,3.0,2.0,전문가적사고,,,,,정경대학,정치외교학과,정치외교학과,,,5
전공필수,POLI336,한국외교정책론,3,3,3.0,2.0,문제해결,,,,,정경대학,정치외교학과,정치외교학과,,,3
전공선택,POLI211,한국정치사상,3,3,2.0,1.0,통합적사고,,,,,정경대학,정치외교학과,정치외교학과,,,3
전공선택,POLI212,동양정치사상,3,3,2.0,2.0,통합적사고,,,,,정경대학,정치외교학과,정치외교학과,,,3
전공선택,POLI213,서양고대.중세정치사상,3,3,2.0,1.0,통합적사고,,,,,정경대학,정치외교학과,정치외교학과,,,5
전공선택,POLI220,시민정치론,3,3,2.0,1.0,사회공헌,,,,,정경대학,정치외교학과,정치외교학과,,,4
전공선택,POLI221,동북아국제관계론,3,3,2.0,1.0,전문가적사고,,,,,정경대학,정치외교학과,정치외교학과,,,4
전공선택,POLI223,정치학방법론,3,3,2.0,1.0,전문가적사고,,,,,정경대학,정치외교학과,정치외교학과,,,4
전공선택,POLI225,한국정치사,3,3,2.0,1.0,통합적사고,,,,,정경대학,정치외교학과,정치외교학과,,,3
전공선택,POLI227,정당론,3,3,2.0,1.0,갈등통합,,,,,정경대학,정치외교학과,정치외교학과,,,1
전공선택,POLI228,일본정치론,3,3,2.0,2.0,갈등통합,,,,,정경대학,정치외교학과,정치외교학과,,,3
전공선택,POLI230,선거와투표행태,3,3,2.0,2.0,문제해결,,,,,정경대학,정치외교학과,정치외교학과,,,5
전공선택,POLI233,외교사,3,3,2.0,1.0,전문가적사고,,,,,정경대학,정치외교학과,정치외교학과,,,3
