구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공필수,ECON171,경제원론I,3,3,1,1,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,5
전공필수,ECON172,경제원론II,3,3,1,2,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,5
전공필수,ECON174,경제의통계분석,3,3,2,2,국제환경변화에대한능동적대처,,,,,정경대학,경제학과,경제학과,,,5
전공필수,ECON201,미시경제이론,3,3,2,1,"경제현상에대한통시적,융합적이해",ECON151|ECON171,,,,정경대학,경제학과,경제학과,,,5
전공필수,ECON202,거시경제이론,3,3,2,2,사회적문제의이해와공감,ECON151|ECON172|ISC203A|ISC203B,,,,정경대학,경제학과,경제학과,,,5
전공선택,CPSE100,사회과학융합세미나,3,3,1,,,,,,,정경대학,경제학과,정경대학,,개설학과 - 정경대학,1
전공선택,ECON173,경제수학,3,3,2,1,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON207,시장경제의이해,3,3,2,2,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON240,산업조직론,3,3,3,1,사회적문제의이해와공감,,ECON201,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON244,노동시장론,3,3,3,1,논리적사고,,ECON150,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON245,정치경제학개론,3,3,2,1,응용능력과정책적사고,,,,,정경대학,경제학과,경제학과,,,0
전공선택,ECON301,계량경제학I,3,3,3,1,정량적분석및데이터활용,,,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON302,계량경제학II,3,3,3,2,정량적분석및데이터활용,,ECON301,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON324,전략과정보의경제학,3,3,3,2,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON326,시장설계이론과실제,3,3,3,1,정량적분석및데이터활용,,ECON201,,,정경대학,경제학과,경제학과,,,2
전공선택,ECON329,한국경제사,3,3,2,1,사회적문제의이해와공감,,,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON330,정보의비대칭성과유인설계,3,3,3,1,사회적문제의이해와공감,,ECON201|ECON205,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON331,화폐금융론,3,3,3,1,응용능력과정책적사고,,ECON150,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON332,한국현대경제사,3,3,2,2,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,0
전공선택,ECON333,재정학,3,3,2,1,사회적문제의이해와공감,,ECON201,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON334,조세론,3,3,2,2,"경제현상에대한통시적,융합적이해",,ECON201,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON335,국제금융론,3,3,3,2,국제환경변화에대한능동적대처,,ECON201|ECON202,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON336,국제무역론,3,3,3,2,국제환경변화에대한능동적대처,,ECON201,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON339,경제발전론,3,3,2,1,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,4
전공선택,ECON351,중국경제론,3,3,3,2,국제환경변화에대한능동적대처,,,,,정경대학,경제학과,경제학과,,,3
전공선택,ECON354,재무경제학,3,3,3,1,정량적분석및데이터활용,,ECON201|ECON202,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON356,경제정책,3,3,2,2,응용능력과정책적사고,,,,,정경대학,경제학과,경제학과,,,0
전공선택,ECON358,서양경제사,3,3,3,1,국제환경변화에대한능동적대처,,,,,정경대학,경제학과,경제학과,,,4
전공선택,ECON359,경제변동성장론,3,3,4,1,정량적분석및데이터활용,,,,,정경대학,경제학과,경제학과,,,4
전공선택,ECON360,지역도시경제론,3,3,3,1,국제환경변화에대한능동적대처,,ECON201,,,정경대학,경제학과,경제학과,,,3
전공선택,ECON362,환경경제학,3,3,3,2,사회적문제의이해와공감,,ECON201,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON366,법경제학,3,3,3,1,문제의식별과구조화,,ECON150,,,정경대학,경제학과,경제학과,,,4
전공선택,ECON371,비주류의경제학,3,3,2,2,문제의식별과구조화,,ECON150,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON372,경제학과철학적논점들,3,3,3,2,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,3
전공선택,ECON374,동서양고전의경제학,3,3,3,1,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,2
전공선택,ECON375,사회경제학,3,3,3,1,사회적문제의이해와공감,,,,,정경대학,경제학과,경제학과,,,0
전공선택,ECON376,정치와경제,3,3,3,2,응용능력과정책적사고,,,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON379,보건의료경제학,3,3,2,1,사회적문제의이해와공감,,,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON380,실증미시경제학,3,3,3,2,사회적문제의이해와공감,,,,,정경대학,경제학과,경제학과,,,4
전공선택,ECON381,시사경제I,3,3,4,1,사회적문제의이해와공감,,,,,정경대학,경제학과,경제학과,,,0
전공선택,ECON382,시사경제II,3,3,4,2,사회적문제의이해와공감,,,,,정경대학,경제학과,경제학과,,,0
전공선택,ECON384,국제금융세미나,3,3,4,1,논리적사고,,,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON385,경제실무인턴십I,3,3,4,1,소통및협업능력,,,1,,정경대학,경제학과,경제학과,,,0
전공선택,ECON389,한국과아시아경제의성장과과제,3,3,3,1,문제의식별과구조화,,,,,정경대학,경제학과,경제학과,,,1
전공선택,ECON434,한국경제론,3,3,3,2,국제환경변화에대한능동적대처,,,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON435,동아시아경제사,3,3,3,1,논리적사고,,,,,정경대학,경제학과,경제학과,,,5
전공선택,ECON436,동태적거시경제학연구,3,3,4,2,정량적분석및데이터활용,ECON201|ECON202|ECON201|ECON202,ECON173|ECON359|ECON173|ECON359,,,정경대학,경제학과,경제학과,,,2
전공선택,ECON437,북한경제론,3,3,3,2,문제의식별과구조화,,,,,정경대학,경제학과,경제학과,,,1
전공선택,ECON439,한국거시경제분석,3,3,3,2,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,3
전공선택,ECON450,화폐금융세미나,3,3,4,2,사회적문제의이해와공감,,ECON150,,,정경대학,경제학과,경제학과,,,3
