구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공필수,STAT221,확률론입문,3,3,2,1,수리과학,,STAT151|STAT201,,,정경대학,통계학과,통계학과,,,5
전공필수,STAT232,수리통계학,3,3,2,2,수리과학,,STAT201|STAT221,,,정경대학,통계학과,통계학과,,,5
전공필수,STAT342,회귀분석,3,3,2,2,데이터 분석,,STAT202|STAT241,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT180,통계계산소프트웨어,3,3,1,2,통계적 의사소통,,,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT201,통계수학,3,3,1,1,수리과학,,,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT204,통계계산프로그래밍,3,3,2,2,통계적 의사소통,,STAT170|STAT180,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT241,행렬이론,3,3,1,2,수리과학,,,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT243,사회과학을위한데이터과학,3,3,1,2,통계적 윤리책임,,,,,정경대학,통계학과,통계학과,,,4
전공선택,STAT302,시계열분석,3,3,3,2,데이터 분석,,STAT241|STAT342,,,정경대학,통계학과,통계학과,,,3
전공선택,STAT311,통계조사론입문,3,3,2,2,통계적 의사소통,,STAT151|STAT202|STAT221,,,정경대학,통계학과,통계학과,,,4
전공선택,STAT323,통계계산방법,3,3,3,1,통합적 의사결정,,STAT180|STAT204,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT332,비모수통계학,3,3,3,2,데이터 분석,,STAT151,,,정경대학,통계학과,통계학과,,,4
전공선택,STAT341,실험계획법,3,3,3,1,데이터 분석,,STAT151|STAT202,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT343,범주형자료분석,3,3,3,1,데이터 분석,,STAT342,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT344,보험통계학,3,3,3,2,통계적 윤리책임,,MATH343|STAT221,,,정경대학,통계학과,통계학과,,,3
전공선택,STAT346,통계적데이터과학I,3,3,3,2,통계적 의사소통,,STAT180|STAT201|STAT241|STAT323,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT375,글로벌통계실무교육인턴십I,3,0,4,1,통계적 의사소통,,,1,,정경대학,통계학과,통계학과,,,0
전공선택,STAT376,글로벌통계실무교육인턴십II,3,0,4,2,통계적 의사소통,,,1,,정경대학,통계학과,통계학과,,,0
전공선택,STAT401,다변량통계분석,3,3,4,1,데이터 분석,,STAT232|STAT241|STAT342,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT402,데이터마이닝입문,3,3,4,2,통합적 의사결정,,STAT301|STAT401,,,정경대학,통계학과,통계학과,,,3
전공선택,STAT404,베이즈통계입문,3,3,3,2,통합적 의사결정,,,,,정경대학,통계학과,통계학과,,,5
전공선택,STAT407,인과추론,3,3,4,2,통합적 의사결정,,,,,정경대학,통계학과,통계학과,,,2
전공선택,STAT409,통계적데이터과학II,3,3,4,1,통계적 의사소통,,STAT180|STAT232|STAT241|STAT342|STAT346,,,정경대학,통계학과,통계학과,,,4
전공선택,STAT412,수리통계학특강,3,3,4,2,수리과학,,STAT232,,,정경대학,통계학과,통계학과,,,3
전공선택,STAT413,금융통계학,3,3,3,1,통계적 윤리책임,MATH343|STAT221,,,,정경대학,통계학과,통계학과,,,1
전공선택,STAT423,생명과학을위한데이터과학,3,3,4,1,통계적 윤리책임,,,,,정경대학,통계학과,통계학과,,,4
전공선택,STAT424,통계적머신러닝,3,3,3,2,통합적 의사결정,,STAT342|STAT343|STAT401,,,정경대학,통계학과,통계학과,,,3
전공선택,STAT433,딥러닝을위한통계적모델링,3,3,4,1,통합적 의사결정,,,,,정경대학,통계학과,통계학과,,,4
전공선택,STAT436,강화학습을위한확률과정과표집,3,3,4,2,통합적 의사결정,,,,,정경대학,통계학과,통계학과,,,2
전공선택,STAT443,선형방법론,3,3,4,1,수리과학,,STAT221|STAT232|STAT241|STAT342,,,정경대학,통계학과,통계학과,,,5
전공인정,ECON301,계량경제학I,3,3,3,1,,,,,,정경대학,통계학과,경제학과,,,5
전공인정,ECON302,계량경제학II,3,3,3,2,,,ECON301,,,정경대학,통계학과,경제학과,,,5
전공인정,MATH211,해석학I및연습,3,3,2,1,,,,,,정경대학,통계학과,수학과,,,5
전공인정,MATH212,해석학II및연습,3,3,2,2,,,,,,정경대학,통계학과,수학과,,,5
전공인정,MATH221,선형대수I및연습,3,3,2,1,,,,,,정경대학,통계학과,수학과,,,5
전공인정,MATH222,선형대수II및연습,3,3,2,2,,,,,,정경대학,통계학과,수학과,,,5
전공인정,MATH240,미분방정식및연습,3,3,2,2,,,,,,정경대학,통계학과,수학과,,,5
전공인정,MATH342,수치해석및연습,3,3,3,2,,,,,,정경대학,통계학과,수학과,,,3
전공인정,MATH344,확률과정개론,3,3,3,1,,,,,,정경대학,통계학과,수학과,,,4
전공인정,MATH453,실해석학,3,3,4,1,,,,,,정경대학,통계학과,수학과,,,5
전공인정,IMEN216,OR-I및 실습,3,5,2,2,,IMEN151|IMEN151,,,,정경대학,통계학과,산업경영공학부,,,5
전공인정,IMEN319,OR-II 및 실습,3,5,3,1,,IMEN151|IMEN213|IMEN213,,,,정경대학,통계학과,산업경영공학부,,,5
전공인정,COSE212,프로그래밍언어,3,3,2,2,,,,,,정경대학,통계학과,컴퓨터학과,,,4
전공인정,COSE213,자료구조,3,3,2,1,,,,,,정경대학,통계학과,컴퓨터학과,,,5
전공인정,COSE214,알고리즘,3,3,2,2,,,,,,정경대학,통계학과,컴퓨터학과,,,5
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,정경대학,통계학과,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,정경대학,통계학과,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,정경대학,통계학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,정경대학,통계학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,정경대학,통계학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,정경대학,통계학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,3,3,1,2,,,,,,정경대학,통계학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,3,3,1,,,,,,,정경대학,통계학과,,,,1
