구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,CPSE100,사회과학융합세미나,3,3,,,,,,,,정경대학,행정학과,정경대학,,개설학과-정경대학,1
전공선택,PAPP201,조사방법론,3,3,2,1,공감력,,,,,정경대학,행정학과,행정학과,,,3
전공선택,PAPP203,정책학,3,3,2,1,공감력,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP209,행정이론,3,3,3,1,혁신적사고,,,,,정경대학,행정학과,행정학과,,,4
전공선택,PAPP211,한국행정론,3,3,3,1,혁신적사고,,,,,정경대학,행정학과,행정학과,,,2
전공선택,PAPP213,지방행정,3,3,3,2,혁신적사고,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP225,행정학특강I,3,3,4,1,변화주도,,,,,정경대학,행정학과,행정학과,,,2
전공선택,PAPP226,행정학특강II,3,3,4,2,변화주도,,,,,정경대학,행정학과,행정학과,,,2
전공선택,PAPP233,인사행정,3,3,2,1,혁신적사고,,,,,정경대학,행정학과,행정학과,,,4
전공선택,PAPP239,예산과재무관리,3,3,2,1,혁신적사고,,,,,정경대학,행정학과,행정학과,,,3
전공선택,PAPP240,조직이론,3,3,1,2,공감력,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP241,공공철학과윤리,3,3,2,1,공감력,,,,,정경대학,행정학과,행정학과,,,4
전공선택,PAPP242,행정통계분석,3,3,2,2,변화주도,,,,,정경대학,행정학과,행정학과,,,3
전공선택,PAPP244,민주주의와행정,3,3,1,2,공감력,,,,,정경대학,행정학과,행정학과,,,4
전공선택,PAPP245,국가디자인론,3,3,2,1,공감력,,,,,정경대학,행정학과,행정학과,,,1
전공선택,PAPP246,소수자정책,3,3,2,2,통섭력,,,,,정경대학,행정학과,행정학과,,,0
전공선택,PAPP250,공공행정과민주적거버넌스,3,3,2,1,통섭력,,PAPP151|PAPP354,,,정경대학,행정학과,행정학과,,,1
전공선택,PAPP314,과학기술정책,3,3,4,1,문제해결,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP319,복지정책,3,3,3,1,문제해결,,,,,정경대학,행정학과,행정학과,,,2
전공선택,PAPP330,정책기획론,3,3,3,1,문제해결,,,,,정경대학,행정학과,행정학과,,,2
전공선택,PAPP336,정책의규범적분석,3,3,3,2,문제해결,,,,,정경대학,행정학과,행정학과,,,3
전공선택,PAPP338,복지국가론,3,3,3,2,통섭력,,,,,정경대학,행정학과,행정학과,,,4
전공선택,PAPP343,비교정부,3,3,4,2,통섭력,,,,,정경대학,행정학과,행정학과,,,3
전공선택,PAPP344,정부와시장,3,3,3,2,통섭력,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP345,정부와시민사회,3,3,2,2,통섭력,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP346,공공부문의경제적분석,3,3,2,1,통섭력,,,,,정경대학,행정학과,행정학과,,,3
전공선택,PAPP347,공공관리,3,3,3,1,혁신적사고,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP348,정부회계와감사,3,3,3,2,혁신적사고,,,,,정경대학,행정학과,행정학과,,,4
전공선택,PAPP350,도시계획론,3,3,3,2,문제해결,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP351,정부부패,3,3,2,2,혁신적사고,,,,,정경대학,행정학과,행정학과,,,4
전공선택,PAPP352,통치제도와정책,3,3,1,2,통섭력,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP353,공공정책형성,3,3,2,2,문제해결,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP354,정부관료제,3,3,3,2,혁신적사고,,,,,정경대학,행정학과,행정학과,,,1
전공선택,PAPP355,도시관리와정책,3,3,3,2,문제해결,,,,,정경대학,행정학과,행정학과,,,3
전공선택,PAPP356,행정과리더십,3,3,4,2,혁신적사고,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP357,환경정책,3,3,3,2,문제해결,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP358,조직행태론,3,3,2,2,혁신적사고,,,,,정경대학,행정학과,행정학과,,,4
전공선택,PAPP361,행정사례분석,3,3,4,1,변화주도,,,,,정경대학,행정학과,행정학과,,,1
전공선택,PAPP362,위험사회와정책,3,3,4,2,문제해결,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP363,행정과법,3,3,3,1,통섭력,,,,,정경대학,행정학과,행정학과,,,5
전공선택,PAPP364,정책사례분석,3,3,4,2,변화주도,,,,,정경대학,행정학과,행정학과,,,2
