구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1.0,,,,,,3,3,,이과대학,수학과,,,,1
교양필수,GEWR002,글쓰기,1.0,1.0,,,,,3,3,,이과대학,수학과,,,,1
교양필수,IFLS800,Academic English I,1.0,,,,,,2,2,,이과대학,수학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1.0,1.0,,,,,1,1,,이과대학,수학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1.0,2.0,,,,,1,1,,이과대학,수학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1.0,1.0,,,,,3,3,,이과대학,수학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1.0,2.0,,,,,3,3,,이과대학,수학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1.0,,,,,,3,3,,이과대학,수학과,,,,1
교양선택,MATH161,미적분학및연습I,1.0,1.0,,,,,3,4,,이과대학,수학과,수학과,,,5
교양선택,MATH162,미적분학및연습II,1.0,2.0,,,,,3,4,,이과대학,수학과,수학과,,,5
교양선택,PHYS151,일반물리학연습 I,,,,,,,3,3,,이과대학,수학과,물리학과,,,5
교양선택,PHYS152,일반물리학연습 II,,,,,,,3,3,,이과대학,수학과,물리학과,,,5
교양선택,PHYS161,일반물리학실험 I,,,,,,,1,3,,이과대학,수학과,물리학과,,,5
교양선택,PHYS162,일반물리학실험 II,,,,,,,1,3,,이과대학,수학과,물리학과,,,5
교양선택,CHEM151,일반화학및연습 I,,,,,,,3,3,,이과대학,수학과,화학과,,,5
교양선택,CHEM152,일반화학및연습 II,,,,,,,3,3,,이과대학,수학과,화학과,,,5
교양선택,CHEM153,일반화학실험 I,,,,,,,1,3,,이과대학,수학과,화학과,,,5
교양선택,CHEM154,일반화학실험 II,,,,,,,1,3,,이과대학,수학과,화학과,,,5
교양선택,EAES151,지구환경과학및연습 I,,,,,,,3,3,,이과대학,수학과,지구환경과학과,,,5
