구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,이과대학,화학과,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,이과대학,화학과,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,이과대학,화학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,이과대학,화학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,이과대학,화학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,이과대학,화학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,이과대학,화학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,이과대학,화학과,,,,1
교양선택,MATH161,미적분학및연습I,1,1.0,,,,,3,4,,이과대학,화학과,수학과,,,5
교양선택,MATH162,미적분학및연습II,1,2.0,,,,,3,4,,이과대학,화학과,수학과,,,5
교양선택,CHEM151,일반화학및연습 I,1,1.0,,,,,3,3,전문가적 사고|통합적 사고|창의적 사고|문제 해결적 사고,이과대학,화학과,화학과,,,5
교양선택,CHEM152,일반화학및연습 II,1,2.0,,,,,3,3,전문가적 사고|통합적 사고|창의적 사고|문제 해결적 사고,이과대학,화학과,화학과,,,5
교양선택,CHEM153,일반화학실험 I,1,1.0,,,,,1,3,전문가적 사고|통합적 사고|창의적 사고|문제 해결적 사고,이과대학,화학과,화학과,,,5
교양선택,CHEM156,화학수학,1,2.0,,,,,1,2,전문가적 사고|통합적 사고|창의적 사고|문제 해결적 사고,이과대학,화학과,화학과,,,5
교양선택,CHEM160,고급일반화학실험,1,2.0,,,,,1,2,전문가적 사고|통합적 사고|창의적 사고|문제 해결적 사고,이과대학,화학과,화학과,,,5
교양선택,PHYS151,일반물리학및연습 I,1,1.0,,,,,1,1,,이과대학,화학과,물리학과,,,5
교양선택,PHYS152,일반물리학및연습 II,1,1.0,,,,,1,2,,이과대학,화학과,물리학과,,,5
교양선택,PHYS161,일반물리학실험 I,1,1.0,,,,,1,1,,이과대학,화학과,물리학과,,,5
교양선택,PHYS162,일반물리학실험 II,1,2.0,,,,,1,2,,이과대학,화학과,물리학과,,,5
전공필수,CHEM201,물리화학Ⅰ,2,1.0,,,,,3,3,전문가적 사고,이과대학,화학과,화학과,,,5
전공필수,CHEM202,물리화학Ⅱ,2,2.0,,,,,3,3,전문가적 사고,이과대학,화학과,화학과,,,5
전공필수,CHEM207,분석화학Ⅰ,2,1.0,,,,,3,3,전문가적 사고,이과대학,화학과,화학과,,,5
전공필수,CHEM205,유기화학Ⅰ,2,1.0,,,,,3,3,전문가적 사고,이과대학,화학과,화학과,,,5
전공필수,CHEM206,유기화학Ⅱ,2,2.0,,,,,3,3,전문가적 사고,이과대학,화학과,화학과,,,5
전공필수,CHEM214,유기화학실험,2,2.0,,,,,2,4,문제 해결적 사고,이과대학,화학과,화학과,,,5
전공필수,CHEM305,무기화학Ⅰ,3,1.0,,,,,3,3,전문가적 사고,이과대학,화학과,화학과,,,5
전공필수,CHEM307,생화학Ⅰ,3,1.0,,,,,3,3,통합적 사고,이과대학,화학과,화학과,,,5
전공필수,CHEM308,무기화학Ⅱ,3,2.0,,,,,3,3,창의적 사고,이과대학,화학과,화학과,,,5
전공필수,CHEM313,물리화학실험,3,1.0,,,,,2,4,문제 해결적 사고,이과대학,화학과,화학과,,,5
전공필수,CHEM411,무기화학실험,4,1.0,,,,,2,4,문제 해결적 사고,이과대학,화학과,화학과,,,5
전공선택,CHEM208,분석화학Ⅱ *,2,2.0,,,,,3,3,전문가적 사고,이과대학,화학과,화학과,,,5
전공선택,CHEM321,양자화학 *,3,1.0,,,,,3,3,창의적 사고,이과대학,화학과,화학과,,,5
전공선택,CHEM322,물리유기화학 *,3,1.0,,,,,3,3,통합적 사고,이과대학,화학과,화학과,,,5
전공선택,CHEM300,전공심화연구I,3,2.0,,,,,3,3,전문가적 사고,이과대학,화학과,화학과,,,5
전공선택,CHEM310,전공심화연구II,4,1.0,,,,,3,3,전문가적 사고,이과대학,화학과,화학과,,,5
전공선택,CHEM326,기기분석,3,2.0,,,,,3,3,전문가적 사고,이과대학,화학과,화학과,,,3
