구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수,sylla_eng,syllabus_kr
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,공과대학,화공생명공학과,,,,1,"The course explores the academic world across various disciplines and aims to cultivate critical, creative, and convergent thinking competencies with learner-driven, discussion-based instruction._x000D_
Exploration of the Academic World I is a General Education","본 교과목에서는 영어, 프랑스어, 중국어, 한국어 등 여러 언어권에서 쓰여진 죽음을 다룬 시들을 읽는다. 학생들은 이 시들을 비교하고 분석하면서 삶과 죽음을 심도 있게 고찰하고 죽음에 대한 다양한 문화적 관점을 탐구하게 된다. ‘죽음시’의 학습은 학생들의 문학적  "
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,공과대학,화공생명공학과,,,,1,"College Writing is an introductory writing course intended to advance students’ critical thinking skills and self-expression?basic skills required for college studies. In this course, students will gain a better understanding of the specific techniques n","이 강의는 생성형 AI의 원리와 기초 이론을 학습하고 이를 실생활에 적용함으로써 학생들이 학습과 창작 등 다양한 지적 활동에서 생산성 향상을 직접 경험하게 하는 것을 목표로 한다. 학생들은 언어, 이미지, 음성(음악), 영상 분야에서 생성형 AI를 활용하여 실제 프로젝 "
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,공과대학,화공생명공학과,,,,1,The objective of this course is to enhance students’ communicative competence in English. Academic content is covered to improve overall proficiency in all areas of English communication as it relates to academic studies. Basic language skills are develo," 본 강의는 초급 수준의 외국인 교환학생 및 학부생을 대상으로 하는 강의로 한_x000D_
국어 읽기 능력을 갖추도록 하는 하는 데 목적이 있다. 본 강의에서는 초급 수준_x000D_
의 어휘와 문법에 대한 학습을 바탕으로 일상적인 소재와 친숙한 사회적 소재로 _x000D_
이루어진 여러 장르의 글을"
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,공과대학,화공생명공학과,,,,1,"[Career·Entrepreneurship] Freshmen Seminar is a required course for first-year students, which provides fitting in university and career explorations. It includes academic advising, counseling with professors, seminars or special online lectures by KU fa","이 강의는 19세기 후반부터 20세기 전반까지의 서양 근대건축사를 대표적 _x000D_
건축가들의 디자인 사례와 함께 탐구한다. 이로써, 근대 사회의 문화적 기술적 변혁이 건축으로 어떻게 나타났고 현재로 어떻게 이어졌는지 이해하도록 한다._x000D_
"
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,공과대학,화공생명공학과,,,,1,"[Career·Entrepreneurship] Freshmen Seminar is a required course for first-year students, offering mentorship and guidance in career directions such as entrepreneurship. It includes academic advising, counseling with professors, seminars, and special onli","[진로·창업] 1학년세미나Ⅰ은 멘토 특성을 지닌 교양필수 교과목으로서, 1학년 세미나 지도교수의 통솔 하에 대학생활에 적응하고 대학생으로서 진로(연구, 취업, 창업)를 설계할 수 있도록, 온라인 합동강좌 수강, 개별 지도 및 면담, 교내외 다양한 프로그램 참여 등으로 "
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,공과대학,화공생명공학과,,,,1,"This course introduces the fundamental principles of computing thinking and programming. Building on a systematic understanding of the programming languages that form the foundation of software, students will learn essential concepts of syntax, data struc","예절의 회복탄력성(回復彈力性: resilience) 제고를 통해 시대정신에 부합하는 배려의 철학을 정돈하고, 사회 공동체의 지도적 인격체로서 지성인의 덕목을 함양한다.  "
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,공과대학,화공생명공학과,,,,0,"This course aims to develop the ability to handle and analyze data, understand artificial intelligence technologies, and learn how to apply them in one's field of work. It covers fundamental concepts of data science and artificial intelligence, and throug","이 과목은 컴퓨팅 사고와 프로그래밍의 기본 원리를 소개하는 과정이다. 소프트웨어의 근간이 되는 프로그래밍 언어에 대한 체계적인 이해를 바탕으로, Python 언어를 통해 기본 문법, 데이터 구조 및 제어 구조의 핵심 개념을 학습한다. 학생들은 이 과목을 통해 프로그래밍"
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,공과대학,화공생명공학과,,,,1,This is a course that fosters convergent thinking to prepare for and lead the changing future environment by examining basic knowledge of biotechnology and various examples of convergence technologies using life phenomena.,표준현장실습은 학생들이 산업체에서 본인이 배운 심리학적 지식을 활용하여 실무를 경험하는 과정이다. 실용적인 직무 역량을 배양함과 동시에 본인의 역량과 적성을 탐색하며 전공 지식을 사회에 적용하는 경험을 할 수 있다.
교양선택,MATH161,미적분학및연습I,1,1.0,,,,,3,4,,공과대학,화공생명공학과,수학과,,,5,"Calculus of one variable functions, Applications fo integration, Polar coordinates Sequences and series, Vector and vector spaces, Calculus of vector functions","일계함수의 미분과 적분, 적분의 응용, 극좌표계, 수열과 급수, 벡터와 벡터 공간"
교양선택,MATH162,미적분학및연습II,1,2.0,,,,,3,4,,공과대학,화공생명공학과,수학과,,,5,"Differentiation of several variable functions, Multiple integrals, Line integrals, Surface integrals Divergence theorem","다변수 함수의 미분, 다중적분, 선적분, 곡면적분, 발산정리"
교양선택,PHYS151,일반물리학및연습Ⅰ,1,1.0,,,,,3,3,,공과대학,화공생명공학과,물리학과,,,5,"In this course students will learn basic physics and physical methodology that are prerequisite for further studies in science and engineering at a college level. Major contents include Newtonian mechanics, wave phenomena and thermodynamics with heavy use","대학에서 과학 및 공학을 공부하는 데에 필요한 물리학의 기본지식과 이에 근거한 방법론 및 과학적 사고방식을 가르치는 과목이다. 주요 내용은 물리량을 기술하는 방법, Newton 역학, 파동현상, 열역학이며, 미적분을 이용한 수준이다. 3시간의 강의가 있고, 1시간의 연습 "
교양선택,PHYS161,일반물리학실험Ⅰ,1,1.0,,,,,1,3,,공과대학,화공생명공학과,물리학과,,,5,In this course students do experiments on various topics which are covered in the accompanying lectures. The course consists of 9 laboratory sessions guided by a teaching assistant. Each class is made of 8 groups of two students each.,"일반물리학및연습 I 에서 강의 및 문제풀이로 배우는 내용을 실험을 통해서 배우는 과목이다. 주요 내용은 date분석법, Newton 역학, 파동현상, 열역학에 관한 실험이다. 한번 3시간 실험으로 진행되며, 2인 1조를 원칙으로 하고, 8개조가 한 반을 구성하여 조교 및 교수의  "
교양선택,EGRN127,기초공학가상실험Ⅰ,1,1.0,,,,,1,3,,공과대학,화공생명공학과,공과대학,,,2,"In this subject, students observe various “physical phenomena” around _x000D_
us,_x000D_
and clarify the principle using basic knowledge of mathematics and physics. _x000D_
The goal of the subject is to cultivate the ability to apply the principles _x000D_
learned from experim","이 과목에서는 여러 가지 “물리적 현상”을 관찰하고, _x000D_
그 원리를 수학/과학의 기초 지식을 이용하여 규명하고,_x000D_
실험으로부터 배운 원리를 실생활에 응용하는 능력을 함양하는데 있다. _x000D_
이를 통하여 상급반(2학년 이상)에서 배우게 될 전공에 대한 흥미를 _x000D_
유도한다."
