구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,공과대학,건축사회환경공학과,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,공과대학,건축사회환경공학과,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,공과대학,건축사회환경공학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,공과대학,건축사회환경공학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,공과대학,건축사회환경공학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,공과대학,건축사회환경공학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,공과대학,건축사회환경공학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,공과대학,건축사회환경공학과,,,,1
교양선택,MATH161,미적분학및연습I,1,1.0,,,,,3,4,,공과대학,건축사회환경공학과,수학과,,,5
교양선택,PHYS151,일반물리학및연습I,1,1.0,,,,,3,3,,공과대학,건축사회환경공학과,물리학과,,,5
교양선택,PHYS161,일반물리학실험I,1,,,,,,1,3,,공과대학,건축사회환경공학과,물리학과,,,5
교양선택,EGRN127,기초공학가상실험Ⅰ,1,,,,,,1,3,,공과대학,건축사회환경공학과,공과대학,,,2
교양선택,CHEM151,일반화학및연습I,1,1.0,,,,,3,3,,공과대학,건축사회환경공학과,화학과,,,5
교양선택,CHEM153,일반화학실험I,1,,,,,,1,3,,공과대학,건축사회환경공학과,화학과,,,5
교양선택,EGRN129,기초공학가상실험Ⅲ,1,,,,,,1,3,,공과대학,건축사회환경공학과,공과대학,,,2
전공필수,ACEE121,건축사회환경공학의미래,1,2.0,,,,,3,3,,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
전공필수,ACEE231,공학수학I,1,2.0,,,,,3,3,융합적사고,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
전공필수,ACEE232,공학수학II,2,1.0,,,,,3,3,창의적문제해결,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
전공필수,ACEE325,수치해석,3,,,,,,3,4,융합적사고,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
전공필수,ACEE471,건설종합설계I,4,1.0,,,,,3,4,사회적책임,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
전공필수,ACEE472,건설종합설계Ⅱ,4,2.0,,,,,3,4,사회적책임,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
전공선택,ACEE123,건축시스템의이해,1,1.0,,,,,3,3,글로벌,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
전공선택,ACEE219,환경화학,2,1.0,,,,,3,3,융합적사고,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
전공선택,ACEE224,토질역학,2,2.0,,,,,3,3,융합적사고,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
전공선택,ACEE226,환경공학I,2,2.0,,,,,3,3,융합적사고,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
전공선택,ACEE227,유체역학및실험,2,1.0,,,,,3,4,융합적사고,공과대학,건축사회환경공학과,건축사회환경공학과,,,5
