구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,공과대학,기계공학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,공과대학,기계공학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,공과대학,기계공학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,공과대학,기계공학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,공과대학,기계공학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,공과대학,기계공학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,공과대학,기계공학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,공과대학,기계공학부,,,,1
교양선택,MATH161,미적분학및연습 I,1,1.0,,,,,3,4,,공과대학,기계공학부,수학과,,,5
교양선택,MATH162,미적분학및연습 Ⅱ,1,2.0,,,,,3,4,,공과대학,기계공학부,수학과,,,5
교양선택,PHYS151,일반물리학및연습Ⅰ,1,1.0,,,,,3,3,,공과대학,기계공학부,물리학과,,,5
교양선택,PHYS161,일반물리학실험Ⅰ,1,1.0,,,,,1,3,,공과대학,기계공학부,물리학과,,,5
교양선택,PHYS152,일반물리학및연습Ⅱ,1,2.0,,,,,3,3,,공과대학,기계공학부,물리학과,,,5
교양선택,PHYS162,일반물리학실험Ⅱ,1,2.0,,,,,1,3,,공과대학,기계공학부,물리학과,,,5
교양선택,CHEM150,일반화학및연습,1,1.0,,,,,3,3,,공과대학,기계공학부,화학과,,,5
교양선택,CHEM155,일반화학실험,1,1.0,,,,,1,3,,공과대학,기계공학부,화학과,,,5
교양선택,LIBS150,생명과학,1,,,,,,3,3,,공과대학,기계공학부,생명과학부,,,5
전공필수,MECH201,열역학I,2,1.0,,,,,3,3,종합적사고력,공과대학,기계공학부,기계공학부,,,5
전공필수,MECH204,유체역학I,2,2.0,,,,,3,3,종합적사고력,공과대학,기계공학부,기계공학부,,,5
전공필수,MECH205,고체역학I,2,1.0,,,,,3,3,종합적사고력,공과대학,기계공학부,기계공학부,,,5
전공필수,MECH209,기계제작법및실습,2,1.0,,,,,3,4,공학문제식별능력,공과대학,기계공학부,기계공학부,,,5
전공필수,MECH210,전산기이용기계제도,2,1.0,,,,,2,3,문제해결능력,공과대학,기계공학부,기계공학부,,,5
전공필수,MECH211,기구학,2,1.0,,,,,3,3,공학문제식별능력,공과대학,기계공학부,기계공학부,,,5
