구분,학수번호,교과목명,학점,시간,학년,학기,필수선수,권장선수,실험실습,세부전공,전공역량,대학,학과,개설학과,내용,메모,개설횟수
전공필수,DISS114,국제통상원론,3,3,1,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,2
전공필수,DISS122,국제관계원론,3,3,1,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,2
전공필수,DISS281,국제개발개론,3,3,2,1,,,,,실용지식기반도전적사고,국제대학,국제학부,국제학부,,,1
전공선택,DISS112,조사방법론,3,3,1,2,,,,,종합적·융복합적사고력,국제대학,국제학부,국제학부,,,3
전공선택,DISS115,경제학입문,3,3,1,1,,,,,종합적·융복합적사고력,국제대학,국제학부,국제학부,,,2
전공선택,DISS123,정치학입문,3,3,1,1,,,,,종합적·융복합적사고력,국제대학,국제학부,국제학부,,,2
전공선택,DISS140,세계화의이해,3,3,,,,,,,,국제대학,국제학부,국제학부,,,2
전공선택,DISS210,세계화와한국경제,3,3,2,1,,,,,국제학전문가,국제대학,국제학부,국제학부,,,2
전공선택,DISS212,국제통상정책의이론과실제,3,3,2,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,1
전공선택,DISS215,금융시장및금융기관,3,3,2,1,,,,,국제학전문가,국제대학,국제학부,국제학부,,,2
전공선택,DISS221,국제협상론,3,3,2,2,,,,,글로벌소통,국제대학,국제학부,국제학부,,,3
전공선택,DISS222,전쟁과평화,3,3,2,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,2
전공선택,DISS223,국제기구론,3,3,2,2,,,,,사회참여및사회공헌,국제대학,국제학부,국제학부,,,1
전공선택,DISS230,국제경영의이해,3,3,2,1,,,,,실용지식기반도전적사고,국제대학,국제학부,국제학부,,,1
전공선택,DISS232,국제경영윤리,3,3,2,2,,,,,실용지식기반도전적사고,국제대학,국제학부,국제학부,,,3
전공선택,DISS241,현대한국,3,3,,,,,,,,국제대학,국제학부,국제학부,,,3
전공선택,DISS242,북미지역입문,3,3,2,1,,,,,국제학전문가,국제대학,국제학부,국제학부,,,1
전공선택,DISS243,동아시아지역입문,3,3,2,2,,,,,글로벌소통,국제대학,국제학부,국제학부,,,0
전공선택,DISS244,유럽지역입문,3,3,2,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,1
전공선택,DISS251,국제법,3,3,2,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,2
전공선택,DISS252,국제경제법,3,3,3,1,,,,,국제학전문가,국제대학,국제학부,국제학부,,,2
전공선택,DISS256,국제개발의동역학,3,3,2,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,2
전공선택,DISS261,기술.정보와사회,3,3,2,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,1
전공선택,DISS282,한국외교콜로퀴움,3,3,2,1,,,,,종합적·융복합적사고력,국제대학,국제학부,국제학부,,,2
전공선택,DISS283,국제학데이터사이언스,3,3,2,2,,,,,종합적·융복합적사고력,국제대학,국제학부,국제학부,,,1
전공선택,DISS284,국제학주요쟁점데이터분석,3,3,3,1,,,,,실용지식기반도전적사고,국제대학,국제학부,국제학부,,,0
전공선택,DISS310,동아시아경제론,3,3,3,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,2
전공선택,DISS311,국제금융:이론및실제,3,3,2,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,1
전공선택,DISS312,세계화와경제개발,,,3,2,,,,,국제학전문가,국제대학,국제학부,국제학부,,,1
전공선택,DISS314,국제경제협력론,3,3,3,2,,,,,사회참여및사회공헌,국제대학,국제학부,국제학부,,,0
전공선택,DISS319,국제금융특강,3,3,3,1,,,,,종합적·융복합적사고력,국제대학,국제학부,국제학부,,,2
