구분,학수번호,교과목명,학점,시간,학년,학기,필수선수,권장선수,실험실습,세부전공,전공역량,대학,학과,개설학과,내용,메모,개설횟수
전공필수,GKSS101,글로벌한국학입문,3,3,1,1,,,,,공감소통역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,1
전공필수,GKSS201,세계경제속의한국,3,3,2,1,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,1
전공필수,GKSS102,세계정치속의한국,3,3,1,2,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,1
전공선택,GKSS104,글로벌한국의문명I,3,3,1,2,,,,,공감소통역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS203,한국과동아시아,3,3,2,1,,,,,공감소통역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS204,한국문화의재조명,3,3,2,2,,,,,공감소통역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,1
전공선택,GKSS205,한국사회의이해,3,3,2,1,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,1
전공선택,GKSS206,글로벌한국의문명 II,3,3,2,2,,,,,공감소통역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS207,글로벌한국의문화I,3,3,2,1,,,,,공감소통역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,1
전공선택,GKSS208,한국학데이터사이언스입문 ,3,3,2,2,,,,,공감소통역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,1
전공선택,GKSS210,질적한국학방법론,3,3,2,2,,,,,글로벌역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS212,동아시아의도시화,3,3,2,2,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS301,한국의민주주의,3,3,3,1,,,,,공감소통역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS303,글로벌한국의대외관계,3,3,3,1,,,,,글로벌역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS304,글로벌한국의문화 II,3,3,3,2,,,,,공감소통역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS305,한국사회의쟁점 I,3,3,3,1,,,,,글로벌역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS306,한국과글로벌기업,3,3,3,2,,,,,도전적리더,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS307,한국의국제무역,3,3,3,1,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS308,한국사회의쟁점 II,3,3,3,2,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS309,글로벌한국학특강I,3,3,3,1,,,,,도전적리더,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS310,시민사회와글로벌한국,3,3,3,2,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS312,북한의정치와경제,3,3,3,2,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS314,남북한관계의이해,3,3,3,2,,,,,글로벌역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS403,한국의문화외교,3,3,4,1,,,,,글로벌역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS404,글로벌한국학특강 II,3,3,4,2,,,,,도전적리더,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS405,한국경제의쟁점,3,3,4,1,,,,,도전적리더,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS406,글로벌한국학특강III,3,3,4,2,,,,,도전적리더,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS407,한국과국제이주,3,3,4,1,,,,,공감소통역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GKSS409,한국과국제개발,3,3,4,1,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,0
전공선택,GLKS201,서울의이해,3,3,2,1,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,2
전공선택,GLKS207,한국경영의이해,3,3,3,1,,,,,융합적사고역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,2
전공선택,JMCO257,한국의문화미디어,3,3,2,1,,,,,글로벌역량,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,2
전공선택,JMCO382,엔터테인먼트산업,3,3,3,2,,,,,도전적리더,국제대학,글로벌한국융합학부,글로벌한국융합학부,,,1
전공선택,DISS114,국제통상원룐,3,3,1,2,,,,,,국제대학,글로벌한국융합학부,국제학부,,,2
전공선택,DISS140,세계화의이해,3,3,,,,,,,,국제대학,글로벌한국융합학부,국제학부,,,2
전공선택,DISS243,동아시아지역입문,3,3,2,2,,,,,,국제대학,글로벌한국융합학부,국제학부,,,0
전공선택,DISS244,유럽지역입문,3,3,2,2,,,,,,국제대학,글로벌한국융합학부,국제학부,,,1
전공선택,DISS281,국제개발개론,3,3,2,1,,,,,,국제대학,글로벌한국융합학부,국제학부,,,1
전공선택,DISS338,세계화와인권,3,3,3,1,,,,,,국제대학,글로벌한국융합학부,국제학부,,,3
전공선택,DISS363,글로벌빈곤,3,3,3,2,,,,,,국제대학,글로벌한국융합학부,국제학부,,,1
전공필수선택,GKSS202,글로벌한국학강독I,3,3,2,2,,,,,공감소통역량,국제대학,글로벌한국융합학부,,,,1
전공필수선택,GKSS401,글로벌한국학세미나I,3,3,4,1,,,,,공감소통역량,국제대학,글로벌한국융합학부,,,,0
전공필수선택,GKSS302,글로벌한국학강독II,3,3,3,2,,,,,공감소통역량,국제대학,글로벌한국융합학부,,,,0
전공필수선택,GKSS402,글로벌한국학세미나II,3,3,4,2,,,,,도전적리더,국제대학,글로벌한국융합학부,,,,0
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,국제대학,글로벌한국융합학부,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,국제대학,글로벌한국융합학부,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,국제대학,글로벌한국융합학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,국제대학,글로벌한국융합학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,국제대학,글로벌한국융합학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,국제대학,글로벌한국융합학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,3,3,1,2,,,,,,국제대학,글로벌한국융합학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,3,3,1,,,,,,,국제대학,글로벌한국융합학부,,,,1
