구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,미디어대학,미디어학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,미디어대학,미디어학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,미디어대학,미디어학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,미디어대학,미디어학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,미디어대학,미디어학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,미디어대학,미디어학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,미디어대학,미디어학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,미디어대학,미디어학부,,,,1
전공필수,JMCO203,미디어학입문,1,1.0,,,,,3,3,융합적 문제해결,미디어대학,미디어학부,미디어학부,,,4
전공필수,JMCO247,창의적미디어기획과표현,1,1.0,,,,,3,4,창의적 사고표현,미디어대학,미디어학부,미디어학부,,,0
전공필수,JMCO248,미디어데이터사이언스입문,1,2.0,,,,,3,3,융합적 문제해결,미디어대학,미디어학부,미디어학부,,,2
전공선택,JMCO240,PR의이해,2,2.0,,,,,3,3,글로벌 의사소통,미디어대학,미디어학부,미디어학부,,,3
전공선택,JMCO252,미디어테크놀로지와문화,2,2.0,,,,,3,3,융합적 문제해결,미디어대학,미디어학부,미디어학부,,,0
전공선택,JMCO253,저널리즘의이해,2,1.0,,,,,3,3,창의적 사고표현,미디어대학,미디어학부,미디어학부,,,2
전공선택,JMCO255,미디어와정치,2,1.0,,,,,3,3,윤리적 사회공헌,미디어대학,미디어학부,미디어학부,,,0
전공선택,JMCO257,한국의문화와미디어,2,1.0,,,,,3,3,글로벌 의사소통,미디어대학,미디어학부,미디어학부,,,2
전공선택,JMCO259,다문화사회와미디어,2,1.0,,,,,3,3,글로벌 의사소통,미디어대학,미디어학부,미디어학부,,,2
전공선택,JMCO262,미디어와젠더,2,2.0,,,,,3,3,윤리적 사회공헌,미디어대학,미디어학부,미디어학부,,,3
전공선택,JMCO264,대인커뮤니케이션,2,2.0,,,,,3,3,글로벌 의사소통,미디어대학,미디어학부,미디어학부,,,3
전공선택,JMCO266,설득커뮤니케이션,2,2.0,,,,,3,3,글로벌 의사소통,미디어대학,미디어학부,미디어학부,,,2
전공선택,JMCO267,광고의이해,2,1.0,,,,,3,3,창의적 사고표현,미디어대학,미디어학부,미디어학부,,,1
전공선택,JMCO268,소비자의이해,2,2.0,,,,,3,3,창의적 사고표현,미디어대학,미디어학부,미디어학부,,,2
전공선택,JMCO269,미디어경제,1,2.0,,,,,3,3,융합적 문제해결,미디어대학,미디어학부,미디어학부,,,1
전공선택,JMCO272,방송론,2,2.0,,,,,3,3,창의적 사고표현,미디어대학,미디어학부,미디어학부,,,3
전공선택,JMCO273,영화론,2,1.0,,,,,3,3,창의적 사고표현,미디어대학,미디어학부,미디어학부,,,2
