구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,보건과학대학,바이오의공학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,보건과학대학,바이오의공학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,보건과학대학,바이오의공학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,보건과학대학,바이오의공학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,보건과학대학,바이오의공학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,보건과학대학,바이오의공학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,보건과학대학,바이오의공학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,보건과학대학,바이오의공학부,,,,1
교양선택,CHEM150,일반화학및연습,1,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,화학과,,,5
교양선택,CHEM155,일반화학실험,1,1.0,,,,,1,3,전문가적사고,보건과학대학,바이오의공학부,화학과,,,5
교양선택,PHYS151,일반물리학및연습 I,1,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,물리학과,,,5
교양선택,PHYS152,일반물리학및연습 II,1,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,물리학과,,,5
교양선택,PHYS161,일반물리학실험 I,1,1.0,,,,,1,3,전문가적사고,보건과학대학,바이오의공학부,물리학과,,,5
교양선택,PHYS162,일반물리학실험 II,1,2.0,,,,,1,3,전문가적사고,보건과학대학,바이오의공학부,물리학과,,,5
교양선택,MATH161,미적분학및연습 I,1,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,수학과,,,5
교양선택,MATH162,미적분학및연습 II,1,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,수학과,,,5
교양선택,LIBS150,생명과학,1,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,생명과학부,,,5
전공필수,BMED202,공학수학II,2,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공필수,BMED323,의공학실험Ⅰ,3,1.0,,,,,2,4,문제해결|통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,1
전공필수,BMED326,의공학실험Ⅱ,3,2.0,,,,,2,4,문제해결|통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공필수,BMED329,의공학실험Ⅲ,3,1.0,,,,,2,4,문제해결|통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED205,공학수학I,2,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED208,생체유체역학,2,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,1
전공선택,BMED211,생체역학,2,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED212,기초광학,2,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED215,해부학,2,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED217,회로이론,2,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED218,생리학,2,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED219,유기화학,2,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED223,의공학프로그래밍,2,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED224,물리화학,2,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,1
전공선택,BMED228,의공학의이해,2,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED230,전자회로,2,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,1
전공선택,BMED301,생화학,3,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED303,분자생물학,3,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED306,세포생물학,3,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED307,생체전달시스템,3,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED309,의료영상,3,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED311,생체신호처리,3,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED312,생체정보계측,3,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,1
전공선택,BMED313,생체재료,3,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED318,의학영상처리,3,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED321,디지털시스템,3,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED325,생체데이터과학,3,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED328,수치해석의생체응용,3,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,1
전공선택,BMED330,바이오메디컬소재공정,4,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED332,생체정보학,3,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,1
전공선택,BMED334,의학물리,3,2.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED336,바이오메디컬빅데이터,3,2.0,,,,,3,3,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,1
전공선택,BMED403,바이오포토닉스,4,1.0,,,,,3,3,전문가적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED404,신경및뇌공학,4,2.0,,,,,3,3,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED419,생체적합성,4,1.0,,,,,3,3,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED420,바이오메디컬통계학,4,2.0,,,,,3,3,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED422,바이오인공장기,4,2.0,,,,,3,3,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED423,현대방사선치료학,4,1.0,,,,,3,3,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED424,의공학특강Ⅱ,4,2.0,,,,,1,1,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED429,바이오마이크로나노기기,4,1.0,,,,,3,3,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED431,의공학특강Ⅰ,4,1.0,,,,,1,1,문제해결|통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED432,의료기기법제도와기술사업화,4,2.0,,,,,3,3,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED433,의공학프로젝트: 캡스톤디자인Ⅰ,4,1.0,,,,,3,4,문제해결|통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED434,의공학프로젝트: 캡스톤디자인Ⅱ,4,1.0,,,,,3,4,문제해결|통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
전공선택,BMED435,바이오메디컬인공지능Ⅰ,4,1.0,,,,,3,3,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,0
전공선택,BMED436,의료로봇,4,2.0,,,,,3,3,통합적사고,보건과학대학,바이오의공학부,바이오의공학부,,,2
