구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,보건과학대학,바이오시스템의과학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,보건과학대학,바이오시스템의과학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,보건과학대학,바이오시스템의과학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,보건과학대학,바이오시스템의과학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,보건과학대학,바이오시스템의과학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,보건과학대학,바이오시스템의과학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,보건과학대학,바이오시스템의과학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,보건과학대학,바이오시스템의과학부,,,,1
교양선택,LIBS151,일반생물학및연습 I,1,,,,,,3,3,전문적융합적 사고| 창의적미래예측 문제해결,,,생명과학부,,,5
교양선택,LIBS152,일반생물학및연습 II,1,,,,,,3,3,전문적융합적 사고| 창의적미래예측 문제해결,,,생명과학부,,,5
교양선택,LIBS153,일반생물학실험 I,1,,,,,,1,3,전문적융합적 사고| 창의적미래예측 문제해결,,,생명과학부,,,5
교양선택,LIBS154,일반생물학실험 II,1,,,,,,1,3,전문적융합적 사고| 창의적미래예측 문제해결,,,생명과학부,,,5
교양선택,CHEM151,일반화학및연습 I,1,,,,,,3,3,전문적융합적 사고| 창의적미래예측 문제해결,,,화학과,,,5
교양선택,CHEM152,일반화학및연습 II,1,,,,,,3,3,전문적융합적 사고| 창의적미래예측 문제해결,,,화학과,,,5
교양선택,CHEM153,일반화학실험 I,1,,,,,,1,3,전문적융합적 사고| 창의적미래예측 문제해결,,,화학과,,,5
교양선택,CHEM154,일반화학실험 II,1,,,,,,1,3,전문적융합적 사고| 창의적미래예측 문제해결,,,화학과,,,5
전공선택,BSMS201,의생명과학개론,2,1.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,0
전공선택,BSMS202,의생명과학실험II,2,1.0,,,,,3,6,창의적미래예측 문제해결,,,바이오시스템의과학부,,,2
전공선택,BSMS203,의생명과학실험I,2,2.0,,,,,3,6,창의적미래예측 문제해결,,,바이오시스템의과학부,,,0
전공선택,BSMS204,세포생물학,2,2.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,2
전공선택,BSMS205,유전학,2,1.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,0
전공선택,BSMS206,인체생리학,2,2.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,1
전공선택,BSMS207,미생물학,2,1.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,0
전공선택,BSMS208,생화학,2,2.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,1
전공선택,BSMS211,분자생물학,2,1.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,0
전공선택,BSMS214,후생유전학,2,2.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,1
전공선택,BSMS222,생물통계학,2,2.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,2
전공선택,BSMS301,면역학,3,1.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,0
전공선택,BSMS306,생리활성물질,3,1.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,2
전공선택,BSMS311,효소공학,3,1.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,1
전공선택,BSMS323,미생물병리학,3,1.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,0
전공선택,BSMS325,의생명과학실험Ⅲ,3,1.0,,,,,3,6,창의적미래예측 문제해결,,,바이오시스템의과학부,,,0
전공선택,BSMS328,의생명과학실험Ⅳ,3,2.0,,,,,3,6,창의적미래예측 문제해결,,,바이오시스템의과학부,,,0
전공선택,BSMS332,영양과건강,3,2.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,0
전공선택,BSMS404,분자질병역학,4,2.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,0
전공선택,BSMS421,대사체학,4,1.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,0
전공선택,BSMS307,질병영양대사,3,1.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,0
전공선택,BSMS312,분자영양학,3,2.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,1
전공선택,BSMS315,조리원리,3,1.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,0
전공선택,BSMS316,조리과학,3,2.0,,,,,3,3,전문적융합적 사고,,,바이오시스템의과학부,,,1
전공선택,BSMS319,식품학I,3,1.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,0
전공선택,BSMS322,식품학II,3,2.0,,,,,3,3,창의적미래예측 문제해결,,,바이오시스템의과학부,,,2
전공선택,BSMS408,식품기기분석및실험,4,2.0,,,,,3,4,창의적미래예측 문제해결,,,바이오시스템의과학부,,,2
