구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,보건과학대학,보건환경융합과학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,보건과학대학,보건환경융합과학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,보건과학대학,보건환경융합과학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,보건과학대학,보건환경융합과학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,보건과학대학,보건환경융합과학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,보건과학대학,보건환경융합과학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,보건과학대학,보건환경융합과학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,보건과학대학,보건환경융합과학부,,,,1
교양선택,LIBS151,일반생물학 및 연습Ⅰ,1,,,,,,3,3,,보건과학대학,보건환경융합과학부,생명과학부,,,5
교양선택,LIBS153,일반생물학실험Ⅰ,1,,,,,,1,3,,보건과학대학,보건환경융합과학부,생명과학부,,,5
교양선택,CHEM151,일반화학 및 연습Ⅰ,1,,,,,,3,3,,보건과학대학,보건환경융합과학부,화학과,,,5
교양선택,CHEM152,일반화학 및 연습 Ⅱ,1,,,,,,3,3,,보건과학대학,보건환경융합과학부,화학과,,,5
교양선택,CHEM153,일반화학실험Ⅰ,1,,,,,,1,3,,보건과학대학,보건환경융합과학부,화학과,,,5
교양선택,CHEM154,일반화학실험II,1,,,,,,1,3,,보건과학대학,보건환경융합과학부,화학과,,,5
교양선택,PHYS151,일반물리학 및 연습Ⅰ,1,,,,,,3,3,,보건과학대학,보건환경융합과학부,물리학과,,,5
교양선택,PHYS152,일반물리학 및 연습Ⅱ,1,,,,,,3,3,,보건과학대학,보건환경융합과학부,물리학과,,,5
교양선택,PHYS161,일반물리학실험Ⅰ,1,,,,,,1,3,,보건과학대학,보건환경융합과학부,물리학과,,,5
교양선택,PHYS162 ,일반물리학실험Ⅱ,1,,,,,,1,3,,보건과학대학,보건환경융합과학부,물리학과,,,0
교양선택,MATH161,미적분학 및 연습 Ⅰ,1,,,,,,3,4,,보건과학대학,보건환경융합과학부,수학과,,,5
전공선택,KHES211,보건환경독성학,2,1.0,,,,공통,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES215,환경보건학,2,1.0,,,,공통,3,3,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES221,보건환경생화학,2,1.0,,,,공통,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES226,전염병및백신학,2,2.0,,,,공통,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES227,방사선과학,2,2.0,,,,공통,3,3,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES228,방사선보건관리,2,2.0,,,,공통,3,3,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES229,보건물리학,2,1.0,,,,공통,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES231,기초수리학,2,1.0,,,,공통,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES232,원자력안전규제,2,2.0,,,,공통,3,3,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES234,공중보건학,2,2.0,,,,공통,3,3,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES237,인체해부학의이해및실습,2,1.0,,,,공통,3,4,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES238,해부생리학 및 실습,2,2.0,,,,공통,3,4,글로벌역량,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES239,보건전산학,2,1.0,,,,공통,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES311,분석화학및실험,3,1.0,,,,공통,3,4,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES319,보건과학과인공지능,3,1.0,,,,공통,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES335,감염안전관리학,3,1.0,,,,공통,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES339,생태계와건강,3,1.0,,,,공통,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES345,원자력기초이론,3,1.0,,,,공통,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES352,보건환경융합과학특강,3,2.0,,,,공통,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
