구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,보건과학대학,보건정책관리학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,보건과학대학,보건정책관리학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,보건과학대학,보건정책관리학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,보건과학대학,보건정책관리학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,보건과학대학,보건정책관리학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,보건과학대학,보건정책관리학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,보건과학대학,보건정책관리학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,보건과학대학,보건정책관리학부,,,,1
학문의기초,KHPM101,사회와건강,1,1.0,,,,,3,3,보건정책 관리의 기초자질 (기초역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,0
학문의기초,KHPM102,공중보건학,1,2.0,,,,,3,3,보건정책 관리의 기초자질 (기초역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,1
학문의기초,KHPM104,보건의료경영,1,2.0,,,,,3,3,보건정책 관리의 기초자질 (기초역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,1
학문의기초,KHPM107,국제보건론,1,1.0,,,,,3,3,국제보건 리더쉽 (글로벌역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,0
학문의기초,KHPM109,건강정의론,1,1.0,,,,,3,3,보건정책 관리의 기초자질 (기초역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,0
전공필수,KHPM201,보건정책관리학개론,2,1.0,,,,,3,3,융합적 접근 (융합역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,0
전공선택,KHPM202,역학개론,2,2.0,,,,,3,3,보건정책 관리방법론 (융합역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,1
전공선택,KHPM203,보건통계학개론,2,1.0,,,,,3,3,보건정책 관리방법론 (융합역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,0
전공선택,KHPM204,보건학도를위한의학개론,1,2.0,,,,,3,3,보건정책 관리의 기초자질 (기초역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,1
전공선택,KHPM205,법과보건정책관리,2,1.0,,,,,3,3,융합적 접근 (융합역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,0
전공선택,KHPM206,중급보건통계학,2,2.0,,,,,3,3,보건정책 관리방법론 (융합역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,1
전공선택,KHPM208,의료보장론,2,2.0,,,,,3,3,융합적 접근 (융합역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,1
전공선택,KHPM212,보건정보시스템,2,2.0,,,,,3,3,보건산업 이해와 관리 (리더역량),보건과학대학,보건정책관리학부,보건정책관리학부,,,0
